coverage_rule_id,coverage_id,rule_id
PB-professional_tax-S-PB-PSDT-REG-V1,PB-professional_tax,S-PB-PSDT-REG-V1
PB-professional_tax-S-PB-PSDT-ELECT-V1,PB-professional_tax,S-PB-PSDT-ELECT-V1
MH-professional_tax-S-MH-PT-REG-V1,MH-professional_tax,S-MH-PT-REG-V1
KA-professional_tax-S-KA-PT-REG-V1,KA-professional_tax,S-KA-PT-REG-V1
MN-professional_tax-S-MN-PT-REG-V1,MN-professional_tax,S-MN-PT-REG-V1
NL-professional_tax-S-NL-PT-REG-V1,NL-professional_tax,S-NL-PT-REG-V1
ML-professional_tax-S-ML-PT-REG-V1,ML-professional_tax,S-ML-PT-REG-V1
WB-professional_tax-S-WB-PT-ENROL-V1,WB-professional_tax,S-WB-PT-ENROL-V1
WB-professional_tax-S-WB-PT-RETURN-V1,WB-professional_tax,S-WB-PT-RETURN-V1
TN-shops_establishments-S-TN-SHOPS-REG-V1,TN-shops_establishments,S-TN-SHOPS-REG-V1
AN-shops_establishments-S-AN-SHOPS-V1,AN-shops_establishments,S-AN-SHOPS-V1
GA-legal_metrology-S-GA-LM-REG-V1,GA-legal_metrology,S-GA-LM-REG-V1
LA-pollution_cte-S-LA-CTE-V1,LA-pollution_cte,S-LA-CTE-V1
LA-pollution_cto-S-LA-CTO-V1,LA-pollution_cto,S-LA-CTO-V1
ML-excise-S-ML-EXCISE-V1,ML-excise,S-ML-EXCISE-V1
KL-rera-S-KL-RERA-V1,KL-rera,S-KL-RERA-V1
DL-municipal_trade-S-DL-MCD-GTL-V1,DL-municipal_trade,S-DL-MCD-GTL-V1
TN-municipal_trade-S-TN-GCC-TRADE-V1,TN-municipal_trade,S-TN-GCC-TRADE-V1
