rule_id,compliance_id,jurisdiction_id,authority_id,governing_law,form_code,applicability_text,turnover_basis,employee_basis,effective_from,effective_to,tax_period,frequency,deadline_text,deadline_json,exceptions_text,verification_status,automation_enabled,checked_on
C001-V1,C001,IN,AUTH-GST,CGST Act 2017 / SGST Acts,,"GST liability depends on supply type, state, PAN aggregate turnover and compulsory-registration exceptions. Do not treat every interstate service supplier or every e-commerce seller as compulsorily registrable. Notification 34/2023 gives qualifying unregistered goods sellers through ECOs an exemption.","PAN aggregate turnover across India; ordinary goods/services limits are subject to specified states, products, exclusions and section 24 exceptions. Exact state/supply evaluation required.",N/A,,,,"One-time, then ongoing",Within 30 days of becoming liable,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C002-V1,C002,IN,AUTH-GST,"CGST Act 2017, Sec 37",GSTR-1,GST registered,Monthly if turnover >Rs5Cr; quarterly (IFF optional) under QRMP if <=Rs5Cr,N/A,,,,Monthly / Quarterly (QRMP),Monthly: 11th of following month. Quarterly: 13th after quarter end. Apply notified period-specific extensions.,"{""type"": ""selected_calendar"", ""choices"": [{""when"": ""monthly_filer"", ""period"": ""month"", ""month_offset"": 1, ""day"": 11}, {""when"": ""quarterly_filer"", ""period"": ""quarter"", ""month_offset"": 1, ""day"": 13}], ""source_id"": ""GST_1"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C003-V1,C003,IN,AUTH-GST,"CGST Act 2017, Sec 39",GSTR-3B,GST registered,Monthly if turnover >Rs5Cr; quarterly under QRMP if <=Rs5Cr,N/A,,,,Monthly / Quarterly,20th monthly; quarterly filers 22nd (Category X states) or 24th (Category Y states) of month after quarter,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C004-V1,C004,IN,AUTH-GST,CGST Rules,PMT-06,GST registered under QRMP,<=Rs5Cr turnover,N/A,,,,Monthly (for month 1 & 2 of quarter),25th of following month,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C005-V1,C005,IN,AUTH-GST,"CGST Act, Composition Rules",CMP-08,"Sole Proprietorship, Partnership, LLP, Pvt Ltd (composition dealers only)",<=Rs1.5Cr (Rs75L special-cat states),N/A,,,,Quarterly,18th of month after quarter,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C006-V1,C006,IN,AUTH-GST,"CGST Act, Sec 44",GSTR-4,Composition dealers,<=Rs1.5Cr,N/A,,,FY 2024-25 onwards,Annual,"30 June following financial-year end, from FY 2024-25 onwards; check period-specific extensions.","{""type"": ""year_end_offset"", ""month_offset"": 3, ""day"": 30, ""period_basis"": ""financial_year_end"", ""applies_from_fy"": ""2024-25"", ""source_id"": ""GST_4"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C007-V1,C007,IN,AUTH-GST,"CGST Act, Sec 44",GSTR-9,All regular GST taxpayers,Mandatory >Rs2Cr; optional below,N/A,,,,Annual,31 December following FY,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C008-V1,C008,IN,AUTH-GST,"CGST Act, Sec 44",GSTR-9C,Taxpayers crossing audit threshold,Mandatory >Rs5Cr,N/A,,,,Annual,31 December following FY (filed with GSTR-9),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C009-V1,C009,IN,AUTH-GST,"CGST Act, Sec 51",GSTR-7,Govt departments/notified TDS deductors,N/A,N/A,,,,Monthly,10th of following month,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C010-V1,C010,IN,AUTH-GST,"CGST Act, Sec 52",GSTR-8,E-commerce operators,N/A,N/A,,,,Monthly,10th of following month,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
