property_profile_id,jurisdiction_id,record_terms,terms_status,ror_url,registration_url,mutation_url,land_revenue_url,source_id,service_source_id,route_status,physical_steps_status,restriction_review,title_note,checked_on
PROP-AN,IN-AN,Local terminology unresolved,unresolved,https://dweepbhoomi.andamannicobar.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-AP,IN-AP,Local terminology unresolved,unresolved,https://meebhoomi.ap.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-AR,IN-AR,Land Holding Certificate,source_scoped,https://lisa.arunachal.gov.in/,,,,AX_DOLR,AX_AR_ROUTE,official_route_identified_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-AS,IN-AS,Local terminology unresolved,unresolved,https://ilrms.assam.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-BR,IN-BR,Jamabandi; Bhu Lagan; Parimarjan,source_scoped,https://biharbhumi.bihar.gov.in/,,https://biharbhumi.bihar.gov.in/,https://biharbhumi.bihar.gov.in/,AX_DOLR,AX_BR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-CH,IN-CH,Local terminology unresolved,unresolved,https://revenue.chd.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-CG,IN-CG,Local terminology unresolved,unresolved,https://bhuiyan.cg.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-DN,IN-DN,Local terminology unresolved,unresolved,https://sugam.dddgov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-DL,IN-DL,Local terminology unresolved,unresolved,https://dlrc.delhi.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-GA,IN-GA,Local terminology unresolved,unresolved,https://dslr.goa.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
