authority_id,name,jurisdiction_id,website_url,source_id,verification_status
AUTH-MCA,MCA / Registrar of Companies,IN,https://www.mca.gov.in/,MCA_PORTAL,routing_reference
AUTH-LLP,MCA / Registrar of LLPs,IN,https://www.mca.gov.in/,MCA_PORTAL,routing_reference
AUTH-NGO,State registrar / MHA FCRA / MCA as applicable,IN,https://fcraonline.gov.in/,FCRA,routing_reference
AUTH-GST,CBIC / GSTN and jurisdictional GST authority,IN,https://www.gst.gov.in/,GST_1,routing_reference
AUTH-INCOME_TAX,CBDT / Income Tax Department,IN,https://www.incometax.gov.in/,IT_FORMS,routing_reference
AUTH-TDS_TCS,CBDT / Income Tax Department,IN,https://www.incometax.gov.in/,IT_FORMS,routing_reference
AUTH-EPFO,Employees Provident Fund Organisation,IN,https://www.epfindia.gov.in/,EPF_DUE,routing_reference
AUTH-ESIC,Employees State Insurance Corporation,IN,https://www.esic.gov.in/,ESI_RATES,routing_reference
AUTH-LABOUR,Ministry of Labour / appropriate government,IN,https://www.labour.gov.in/,LABOUR_CODES,routing_reference
AUTH-POSH,POSH - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-PT,Profession / development tax - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-SHOPS,Shops and establishments - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-LWF,Labour welfare funds - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-FACTORY,Appropriate government / factory inspectorate,IN,https://www.labour.gov.in/,OSH_FAQ,routing_reference
AUTH-POLLUTION,MoEFCC / CPCB / SPCB or PCC,IN,https://cpcb.gov.in/,CPCB_DIR,routing_reference
AUTH-WASTE,CPCB / SPCB or PCC,IN,https://cpcb.gov.in/,CPCB_DIR,routing_reference
AUTH-MUNICIPAL,Municipal and building approvals - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-FIRE,Fire safety - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-FSSAI,FSSAI / State food safety authority,IN,https://foscos.fssai.gov.in/,FSSAI_PORTAL,routing_reference
AUTH-DGFT,Directorate General of Foreign Trade,IN,https://www.dgft.gov.in/,DGFT_FTP,routing_reference
AUTH-CUSTOMS,Customs - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-MSME,Ministry of MSME,IN,https://udyamregistration.gov.in/,UDYAM,routing_reference
AUTH-AUDIT,Audit and assurance - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-IP,CGPDTM / IP India,IN,https://ipindia.gov.in/pages/e-services,IP,routing_reference
AUTH-BOOKS,Accounting and records - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-FEMA,Reserve Bank of India / Authorised Dealer bank,IN,https://firms.rbi.org.in/,RBI_FIRMS,routing_reference
AUTH-LEGAL_METROLOGY,Department of Consumer Affairs / State Controller,IN,https://consumeraffairs.gov.in/pages/legal-metrology-overview,LM,routing_reference
AUTH-BIS,Bureau of Indian Standards,IN,https://www.bis.gov.in/,BIS,routing_reference
AUTH-DRUGS_HEALTH,CDSCO / State licensing authority,IN,https://www.cdsco.gov.in/,CDSCO,routing_reference
AUTH-RERA,Real estate / RERA - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-TRANSPORT,Transport and vehicles - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-TELECOM,Telecom and wireless - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-DATA_CYBER,MeitY / CERT-In / Data Protection Board as applicable,IN,https://www.meity.gov.in/,DPDP,routing_reference
AUTH-ENERGY_PESO,PESO / State energy or boiler authority,IN,https://www.peso.gov.in/,PESO,routing_reference
AUTH-AGRI_MINING,Agriculture and mining - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-EXCISE,State excise and controlled trades - jurisdiction-specific authority,IN,https://www.nsws.gov.in/,NSWS_FAQ,routing_reference
AUTH-AN-PCB,Andaman and Nicobar Islands pollution board / committee,IN-AN,http://andssw1.and.nic.in/swc/depts/pcc/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-AP-PCB,Andhra Pradesh pollution board / committee,IN-AP,https://pcb.ap.gov.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-AR-PCB,Arunachal Pradesh pollution board / committee,IN-AR,https://apspcb.net/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-AS-PCB,Assam pollution board / committee,IN-AS,http://www.pcbassam.org,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-BR-PCB,Bihar pollution board / committee,IN-BR,https://bspcb.bihar.gov.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-CH-PCB,Chandigarh pollution board / committee,IN-CH,https://cpcc.chd.gov.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-CG-PCB,Chhattisgarh pollution board / committee,IN-CG,http://www.enviscecb.org,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-DN-PCB,Dadra and Nagar Haveli and Daman and Diu pollution board / committee,IN-DN,https://ddd.gov.in/pollution-control-committee/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-DL-PCB,Delhi pollution board / committee,IN-DL,http://www.dpcc.delhigovt.nic.in/indexdup.php,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-GA-PCB,Goa pollution board / committee,IN-GA,https://goaspcb.gov.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-GJ-PCB,Gujarat pollution board / committee,IN-GJ,http://gpcb.gov.in,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-HR-PCB,Haryana pollution board / committee,IN-HR,http://hspcb.gov.in,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-HP-PCB,Himachal Pradesh pollution board / committee,IN-HP,http://hppcb.nic.in,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-JK-PCB,Jammu and Kashmir pollution board / committee,IN-JK,https://jkpcb.jk.gov.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
AUTH-JH-PCB,Jharkhand pollution board / committee,IN-JH,https://jspcb.org.in/,CPCB_DIR,directory_confirmed_not_endpoint_tested
