coverage_rule_id,coverage_id,rule_id
PB-professional_tax-S-PB-PSDT-REG-V1,PB-professional_tax,S-PB-PSDT-REG-V1
PB-professional_tax-S-PB-PSDT-ELECT-V1,PB-professional_tax,S-PB-PSDT-ELECT-V1
MH-professional_tax-S-MH-PT-REG-V1,MH-professional_tax,S-MH-PT-REG-V1
KA-professional_tax-S-KA-PT-REG-V1,KA-professional_tax,S-KA-PT-REG-V1
MN-professional_tax-S-MN-PT-REG-V1,MN-professional_tax,S-MN-PT-REG-V1
NL-professional_tax-S-NL-PT-REG-V1,NL-professional_tax,S-NL-PT-REG-V1
ML-professional_tax-S-ML-PT-REG-V1,ML-professional_tax,S-ML-PT-REG-V1
WB-professional_tax-S-WB-PT-ENROL-V1,WB-professional_tax,S-WB-PT-ENROL-V1
WB-professional_tax-S-WB-PT-RETURN-V1,WB-professional_tax,S-WB-PT-RETURN-V1
TN-shops_establishments-S-TN-SHOPS-REG-V1,TN-shops_establishments,S-TN-SHOPS-REG-V1
AN-shops_establishments-S-AN-SHOPS-V1,AN-shops_establishments,S-AN-SHOPS-V1
GA-legal_metrology-S-GA-LM-REG-V1,GA-legal_metrology,S-GA-LM-REG-V1
LA-pollution_cte-S-LA-CTE-V1,LA-pollution_cte,S-LA-CTE-V1
LA-pollution_cto-S-LA-CTO-V1,LA-pollution_cto,S-LA-CTO-V1
ML-excise-S-ML-EXCISE-V1,ML-excise,S-ML-EXCISE-V1
KL-rera-S-KL-RERA-V1,KL-rera,S-KL-RERA-V1
DL-municipal_trade-S-DL-MCD-GTL-V1,DL-municipal_trade,S-DL-MCD-GTL-V1
TN-municipal_trade-S-TN-GCC-TRADE-V1,TN-municipal_trade,S-TN-GCC-TRADE-V1
AX015-V1-COV,WB-property_mutation,AX015-V1
AX016-V1-COV,WB-land_revenue,AX016-V1
AX017-V1-COV,BR-property_mutation,AX017-V1
AX018-V1-COV,BR-land_revenue,AX018-V1
AX019-V1-COV,BR-property_ror,AX019-V1
AX020-V1-COV,BR-property_ror,AX020-V1
AX021-V1-COV,BR-land_use_eligibility,AX021-V1
AX022-V1-COV,MH-property_ror,AX022-V1
AX023-V1-COV,MH-property_mutation,AX023-V1
AX024-V1-COV,KA-property_mutation,AX024-V1
AX025-V1-COV,TN-property_ror,AX025-V1
AX026-V1-COV,KL-land_revenue,AX026-V1
AX027-V1-COV,TG-property_mutation,AX027-V1
AX028-V1-COV,TG-land_use_eligibility,AX028-V1
AX029-V1-COV,HP-land_use_eligibility,AX029-V1
AX030-V1-COV,DL-excise,AX030-V1
AX031-V1-COV,MH-excise,AX031-V1
AX032-V1-COV,CG-excise,AX032-V1
AX033-V1-COV,BR-excise,AX033-V1
AX034-V1-COV,WB-excise,AX034-V1
AX035-V1-COV,WB-excise,AX035-V1
AX036-V1-COV,WB-excise,AX036-V1
AX037-V1-COV,WB-excise,AX037-V1
AX038-V1-COV,AR-property_ror,AX038-V1
AX039-V1-COV,ML-property_mutation,AX039-V1
AX040-V1-COV,ML-land_use_eligibility,AX040-V1
AX041-V1-COV,MZ-property_mutation,AX041-V1
AX042-V1-COV,DL-property_tax,AX042-V1
AX043-V1-COV,WB-deed_registration,AX043-V1
