legacy_row_id,input_file,input_row_number,mapped_compliance_id,raw_json
M001,india_compliance_master.csv,2,C001,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GST Registration"", ""Governing_Law"": ""CGST Act 2017 / SGST Acts"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd"", ""Turnover_Applicability"": ""Goods >Rs40L (Rs20L special-cat states); Services >Rs20L (Rs10L special-cat); mandatory regardless of turnover for interstate supply/e-commerce/casual taxable persons"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""One-time, then ongoing"", ""Due_Date_Timeline"": ""Within 30 days of becoming liable"", ""Digital_or_Physical"": ""Digital (gst.gov.in) — officer may conduct physical premises verification in some cases"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""PAN, Aadhaar, business constitution proof, address proof, bank details, photo, DSC/e-sign (mandatory for companies/LLPs)"", ""Penalty_Late_Fee"": ""10% of tax due (min Rs10,000), 100% if deliberate evasion"", ""Notes"": ""Compulsory registration also applies to e-commerce sellers and casual/non-resident taxable persons irrespective of turnover""}"
M002,india_compliance_master.csv,3,C002,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-1 (Outward Supplies)"", ""Governing_Law"": ""CGST Act 2017, Sec 37"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""GST registered"", ""Turnover_Applicability"": ""Monthly if turnover >Rs5Cr; quarterly (IFF optional) under QRMP if <=Rs5Cr"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Monthly / Quarterly (QRMP)"", ""Due_Date_Timeline"": ""11th of following month (monthly); 13th for QRMP quarterly"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Sales invoice data, debit/credit notes, HSN summary"", ""Penalty_Late_Fee"": ""Rs50/day (Rs25 CGST+Rs25 SGST); Rs20/day for nil returns"", ""Notes"": ""QRMP taxpayers can file optional monthly IFF for B2B invoices""}"
M003,india_compliance_master.csv,4,C003,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-3B (Summary Return & Tax Payment)"", ""Governing_Law"": ""CGST Act 2017, Sec 39"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""GST registered"", ""Turnover_Applicability"": ""Monthly if turnover >Rs5Cr; quarterly under QRMP if <=Rs5Cr"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Monthly / Quarterly"", ""Due_Date_Timeline"": ""20th monthly; quarterly filers 22nd (Category X states) or 24th (Category Y states) of month after quarter"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""GSTR-2B reconciliation, tax computation, ITC ledger"", ""Penalty_Late_Fee"": ""Rs50/day (Rs20/day nil) + 18% p.a. interest on late tax paid"", ""Notes"": ""Late filing blocks recipients' ITC claims""}"
M004,india_compliance_master.csv,5,C004,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""PMT-06 (QRMP Monthly Tax Payment)"", ""Governing_Law"": ""CGST Rules"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""GST registered under QRMP"", ""Turnover_Applicability"": ""<=Rs5Cr turnover"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Monthly (for month 1 & 2 of quarter)"", ""Due_Date_Timeline"": ""25th of following month"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Self-assessed or 35% fixed-sum method challan"", ""Penalty_Late_Fee"": ""Interest 18% p.a. on shortfall"", ""Notes"": ""Applies only to QRMP quarterly filers""}"
M005,india_compliance_master.csv,6,C005,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""CMP-08 (Composition Scheme Statement)"", ""Governing_Law"": ""CGST Act, Composition Rules"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Sole Proprietorship, Partnership, LLP, Pvt Ltd (composition dealers only)"", ""Turnover_Applicability"": ""<=Rs1.5Cr (Rs75L special-cat states)"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""Quarterly"", ""Due_Date_Timeline"": ""18th of month after quarter"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Turnover summary, tax computation"", ""Penalty_Late_Fee"": ""Rs200/day (Rs100 CGST+Rs100 SGST) capped at Rs5,000"", ""Notes"": ""Composition dealers cannot claim ITC""}"
M006,india_compliance_master.csv,7,C006,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-4 (Composition Annual Return)"", ""Governing_Law"": ""CGST Act, Sec 44"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Composition dealers"", ""Turnover_Applicability"": ""<=Rs1.5Cr"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""30 April following FY"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Consolidated quarterly CMP-08 data"", ""Penalty_Late_Fee"": ""Rs200/day, capped at Rs5,000"", ""Notes"": """"}"
M007,india_compliance_master.csv,8,C007,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-9 (Annual Return)"", ""Governing_Law"": ""CGST Act, Sec 44"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""All regular GST taxpayers"", ""Turnover_Applicability"": ""Mandatory >Rs2Cr; optional below"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""31 December following FY"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""GSTR-1, GSTR-3B, GSTR-2B consolidated data for the year"", ""Penalty_Late_Fee"": ""Rs200/day capped at 0.25% of state turnover"", ""Notes"": ""Composition dealers file GSTR-9A instead""}"
M008,india_compliance_master.csv,9,C008,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-9C (Reconciliation Statement)"", ""Governing_Law"": ""CGST Act, Sec 44"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Taxpayers crossing audit threshold"", ""Turnover_Applicability"": ""Mandatory >Rs5Cr"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""31 December following FY (filed with GSTR-9)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Audited financial statements reconciled with GSTR-9 figures"", ""Penalty_Late_Fee"": ""Same as GSTR-9 (part of same filing)"", ""Notes"": ""Now self-certified by taxpayer, no separate CA certification mandated""}"
M009,india_compliance_master.csv,10,C009,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-7 (TDS under GST)"", ""Governing_Law"": ""CGST Act, Sec 51"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Govt departments/notified TDS deductors"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Notice Trigger"", ""Frequency"": ""Monthly"", ""Due_Date_Timeline"": ""10th of following month"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""TDS deduction details, deductee GSTINs"", ""Penalty_Late_Fee"": ""Rs200/day (Rs100+Rs100), max Rs5,000"", ""Notes"": ""Applies to specified govt/PSU deductors, not typical private entities""}"
M010,india_compliance_master.csv,11,C010,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GSTR-8 (TCS by E-commerce Operators)"", ""Governing_Law"": ""CGST Act, Sec 52"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""E-commerce operators"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Industry Trigger"", ""Frequency"": ""Monthly"", ""Due_Date_Timeline"": ""10th of following month"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Supplier-wise supply & TCS collected data"", ""Penalty_Late_Fee"": ""Late fee Rs200/day, max Rs5,000"", ""Notes"": ""Applicable to marketplace e-commerce operators only""}"
