compliance_id,name,department_id,obligation_kind,scope_level,catalog_status
C001,GST Registration,GST,mandatory_if_applicable,central,researched_partial
C002,GSTR-1 (Outward Supplies),GST,mandatory_if_applicable,central,researched_partial
C003,GSTR-3B (Summary Return & Tax Payment),GST,mandatory_if_applicable,central,researched_partial
C004,PMT-06 (QRMP Monthly Tax Payment),GST,mandatory_if_applicable,central,imported_unverified
C005,CMP-08 (Composition Scheme Statement),GST,mandatory_if_applicable,central,imported_unverified
C006,GSTR-4 (Composition Annual Return),GST,mandatory_if_applicable,central,researched_partial
C007,GSTR-9 (Annual Return),GST,mandatory_if_applicable,central,researched_partial
C008,GSTR-9C (Reconciliation Statement),GST,mandatory_if_applicable,central,researched_partial
C009,GSTR-7 (TDS under GST),GST,mandatory_if_applicable,central,imported_unverified
C010,GSTR-8 (TCS by E-commerce Operators),GST,mandatory_if_applicable,central,imported_unverified
C011,E-Invoicing (IRN Generation),GST,mandatory_if_applicable,central,researched_partial
C012,GST Registration Amendment / Additional Place of Business (APOB),GST,mandatory_if_applicable,central,imported_unverified
C013,LUT for Exports (RFD-11),GST,mandatory_if_applicable,central,imported_unverified
C014,E-Way Bill,GST,mandatory_if_applicable,central,imported_unverified
C015,Name Reservation (Part A of SPICe+ / RUN),MCA,mandatory_if_applicable,central,researched_partial
C016,Company Incorporation (SPICe+ Part B + AGILE-PRO-S),MCA,mandatory_if_applicable,central,researched_partial
C017,INC-20A (Commencement of Business),MCA,mandatory_if_applicable,central,researched_partial
C018,First Board Meeting & Statutory Registers,MCA,mandatory_if_applicable,central,imported_unverified
C019,ADT-1 (Auditor Appointment),MCA,mandatory_if_applicable,central,researched_partial
C020,AOC-4 (Financial Statements),MCA,mandatory_if_applicable,central,researched_partial
C021,MGT-7 / MGT-7A (Annual Return),MCA,mandatory_if_applicable,central,researched_partial
C022,Annual General Meeting (AGM),MCA,mandatory_if_applicable,central,imported_unverified
C023,Director DIN KYC / particulars update,MCA,mandatory_if_applicable,central,researched_partial
C024,DPT-3 (Return of Deposits),MCA,mandatory_if_applicable,central,researched_partial
C025,MSME-1 (Outstanding Dues to MSME Suppliers),MCA,mandatory_if_applicable,central,researched_partial
C026,CHG-1 (Creation/Modification of Charge),MCA,mandatory_if_applicable,central,researched_partial
C027,PAS-3 (Return of Allotment),MCA,mandatory_if_applicable,central,researched_partial
C028,DIR-12 (Director Appointment/Cessation),MCA,mandatory_if_applicable,central,researched_partial
C029,INC-22 (Change of Registered Office),MCA,mandatory_if_applicable,central,researched_partial
C030,Statutory Financial Audit,AUDIT,mandatory_if_applicable,central,researched_partial
C031,Secretarial Audit (MR-3),AUDIT,mandatory_if_applicable,central,imported_unverified
C032,LLP Incorporation (FiLLiP),LLP,mandatory_if_applicable,central,researched_partial
C033,LLP Form 11 (Annual Return),LLP,mandatory_if_applicable,central,researched_partial
C034,LLP Form 8 (Statement of Account & Solvency),LLP,mandatory_if_applicable,central,researched_partial
C035,LLP ITR-5,INCOME_TAX,mandatory_if_applicable,central,researched_partial
C036,Partnership Firm Registration,MCA,conditional_registration_or_legal_effect,state_framework,imported_unverified
C037,Partnership Deed Amendment Intimation,MCA,mandatory_if_applicable,state_framework,imported_unverified
C038,Trust Deed Registration,NGO,mandatory_if_applicable,state_framework,imported_unverified
C039,Society Registration,NGO,mandatory_if_applicable,state_framework,imported_unverified
C040,Section 8 Company Incorporation,NGO,mandatory_if_applicable,central,researched_partial
C041,12A/12AB Registration (Income Tax Exemption),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C042,80G Registration (Donor Tax Benefit),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C043,Form 10B / 10BB (NGO Audit Report),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C044,ITR-7 (NGO Annual Return),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C045,FCRA registration / prior permission before foreign contribution,NGO,mandatory_if_applicable,central,imported_unverified
C046,PAN Application,INCOME_TAX,mandatory_if_applicable,central,researched_partial
C047,TAN Application,INCOME_TAX,mandatory_if_applicable,central,researched_partial
C048,ITR Filing (Non-Audit Cases),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C049,ITR Filing (Audit Cases),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C050,Income-tax audit report,INCOME_TAX,mandatory_if_applicable,central,researched_partial
C051,Transfer Pricing Report (Form 3CEB),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C052,Advance Tax (4 Instalments),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C053,TDS Deposit (Monthly Challan),TDS_TCS,mandatory_if_applicable,central,researched_partial
C054,Quarterly salary TDS statement,TDS_TCS,mandatory_if_applicable,central,researched_partial
C055,Quarterly resident non-salary TDS statement,TDS_TCS,mandatory_if_applicable,central,researched_partial
C056,Quarterly non-resident TDS statement,TDS_TCS,mandatory_if_applicable,central,researched_partial
C057,Quarterly TCS statement,TDS_TCS,mandatory_if_applicable,central,researched_partial
C058,Form 16 (Salary TDS Certificate),TDS_TCS,mandatory_if_applicable,central,researched_partial
C059,Form 16A (Non-Salary TDS Certificate),TDS_TCS,mandatory_if_applicable,central,researched_partial
C060,Specified property payment deduction and statement,TDS_TCS,mandatory_if_applicable,central,researched_partial
C061,Foreign remittance information / accountant certificate,TDS_TCS,mandatory_if_applicable,central,researched_partial
C062,Form 61A (Statement of Financial Transactions - SFT),TDS_TCS,mandatory_if_applicable,central,researched_partial
C063,EPF Registration,EPFO,mandatory_if_applicable,central,researched_partial
C064,EPF Monthly ECR (Electronic Challan-cum-Return),EPFO,mandatory_if_applicable,central,researched_partial
C065,EPF Annual Return (Form 3A/6A),EPFO,mandatory_if_applicable,central,researched_partial
C066,ESIC Registration,ESIC,mandatory_if_applicable,central,researched_partial
C067,ESIC Monthly Contribution & Return,ESIC,mandatory_if_applicable,central,researched_partial
C068,Professional Tax Registration (PTRC/PTEC),PT,mandatory_if_applicable,state_framework,imported_unverified
C069,Professional Tax Return Filing,PT,mandatory_if_applicable,state_framework,imported_unverified
C070,POSH Internal Committee + Annual Report,POSH,mandatory_if_applicable,central,researched_partial
C071,Payment of Gratuity Act Compliance,LABOUR,mandatory_if_applicable,central,researched_partial
C072,Labour Welfare Fund Contribution,LWF,mandatory_if_applicable,state_framework,imported_unverified
C073,Minimum Wages Compliance & Registers,LABOUR,mandatory_if_applicable,central,researched_partial
C074,Contract Labour Licence (Principal Employer & Contractor),LABOUR,mandatory_if_applicable,central,researched_partial
C075,FSSAI Basic Registration,FSSAI,mandatory_if_applicable,central,researched_partial
C076,FSSAI State Licence,FSSAI,mandatory_if_applicable,central,researched_partial
C077,FSSAI Central Licence,FSSAI,mandatory_if_applicable,central,researched_partial
C078,IEC (Import Export Code),DGFT,mandatory_if_applicable,central,researched_partial
C079,IEC Annual Updation,DGFT,mandatory_if_applicable,central,researched_partial
C080,RCMC (Registration-Cum-Membership Certificate),DGFT,optional_benefit,central,imported_unverified
C081,AD Code Registration (Bank),DGFT,mandatory_if_applicable,central,imported_unverified
C082,EPCG / Advance Authorization Scheme,DGFT,mandatory_if_applicable,central,imported_unverified
C083,MSME / Udyam Registration,MSME,optional_benefit,central,researched_partial
C084,Trade Licence (Municipal Corporation),MUNICIPAL,mandatory_if_applicable,state_framework,imported_unverified
C085,Fire NOC (Fire Safety Certificate),FIRE,mandatory_if_applicable,state_framework,imported_unverified
C086,Factory Licence,FACTORY,mandatory_if_applicable,state_framework,researched_partial
C087,Factory Licence Renewal,FACTORY,mandatory_if_applicable,state_framework,researched_partial
C088,Consent to Establish (CTE),POLLUTION,mandatory_if_applicable,state_framework,imported_unverified
C089,Consent to Operate (CTO),POLLUTION,mandatory_if_applicable,state_framework,imported_unverified
