rule_id,compliance_id,jurisdiction_id,authority_id,governing_law,form_code,applicability_text,turnover_basis,employee_basis,effective_from,effective_to,tax_period,frequency,deadline_text,deadline_json,exceptions_text,verification_status,automation_enabled,checked_on,compliance_name,department_id,obligation_kind,scope_level,trigger_types,entity_types,documents,application_url,filing_mode,physical_submission,applicant_visit,inspection,process_notes,source_urls
IF001-V1,IF001,IN,AUTH-RBI-FLA,FEMA and RBI annual FLA reporting requirements,FLA,"Entities covered by RBI FLA FAQ, including eligible companies/LLPs with outstanding inward/outward direct investment at year end; distinguish special AIF procedure.",,,,,,annual,15 July of reporting year. Provisional figures may be used; obtain FLAIR permission to revise as described in current FAQ.,"{""type"": ""manual_review""}",,researched_partial,0,2026-09-15,Annual foreign liabilities and assets return,FEMA,mandatory_if_applicable,central,date|transaction,private_company|public_company|section8|llp|partnership|other,Financial statements; investment/shareholding data; FLAIR verification and authority letters for registration,https://flair.rbi.org.in/,online,unverified,unverified,unverified,Filing channel and physical requirements require independent evidence.,https://www.indiafilings.com/learn/what-is-fla-return|https://www.rbi.org.in/Scripts/FAQView.aspx?Id=95
IF002-V1,IF002,IN,AUTH-MCA,Companies (Prospectus and Allotment of Securities) Rules 9A/9B,PAS-6,"Companies covered by applicable dematerialisation rules; assess unlisted public/private class, exclusions, relevant financial-year status and transition.",,,,,,half_yearly,Within 60 days of each applicable half-year end; verify period-specific relaxations.,"{""type"": ""manual_review""}",Do not activate from current turnover alone. Rule 9B transition and changed small-company status need separate legal review.,researched_partial,0,2026-09-15,Half-yearly share capital reconciliation — PAS-6,MCA,mandatory_if_applicable,central,date|transaction|law_change,private_company|public_company|section8,ISIN and depository balances; issued/listed/physical/demat capital reconciliation; professional certification,https://www.mca.gov.in/,online,unverified,unverified,unverified,Do not activate from current turnover alone. Rule 9B transition and changed small-company status need separate legal review.,https://www.indiafilings.com/learn/form-pas-6|https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_PAS-6.pdf
IF003-V1,IF003,IN,AUTH-MCA,Companies Act section 64; Share Capital and Debentures Rules,SH-7,"Applicable capital alteration, increase/consolidation/division or specified redemption events; purpose controls attachments.",,,,,,event_based,Section 64 ordinarily requires notice within 30 days of alteration/increase/redemption; evaluate exact event.,"{""type"": ""manual_review""}",,researched_partial,0,2026-09-15,Notice of alteration of share capital,MCA,mandatory_if_applicable,central,transaction,private_company|public_company|section8,Resolution; altered memorandum/articles where relevant; capital breakdown; tribunal order where applicable,https://www.mca.gov.in/,online,unverified,unverified,unverified,Filing channel and physical requirements require independent evidence.,https://www.indiafilings.com/learn/eform-sh-7|https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_SH-7.pdf
IF004-V1,IF004,IN,AUTH-MCA,"Companies Act section 140(2); Companies (Audit and Auditors) Rules, rule 8",ADT-3,Resigning auditor must file; company workflow should track receipt and replacement separately.,,,,,,event_based,Within 30 days of resignation; additional CAG communication where section 140 applies.,"{""type"": ""manual_review""}","Legal filer is the auditor, not automatically the company or its director.",researched_partial,0,2026-09-15,Auditor resignation notice,AUDIT,mandatory_if_applicable,central,transaction,private_company|public_company|section8,Resignation letter; auditor identity and membership/firm details; reasons and relevant facts,https://www.mca.gov.in/,online,unverified,unverified,unverified,"Legal filer is the auditor, not automatically the company or its director.",https://www.indiafilings.com/learn/removal-or-change-of-auditor-of-company|https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://www.mca.gov.in/Ministry/pdf/NCARules_Chapter10.pdf
IF005-V1,IF005,IN,AUTH-APEDA,APEDA Act and current e-RCMC procedure,e-RCMC — APEDA,Exporters of APEDA scheduled agricultural/processed-food products; distinguish merchant and manufacturer category.,,,,,,event_based,Obtain applicable registration for scheduled-product export; certificate validity is five years under current procedure. Confirm exact initial statutory clock.,"{""type"": ""manual_review""}",,researched_partial,0,2026-09-15,APEDA scheduled-product exporter registration / renewal,DGFT,mandatory_if_applicable,central,industry|licence|transaction,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,Signed/sealed IEC; product-specific manufacturing evidence for manufacturer or combined category,https://www.dgft.gov.in/CP/index.jsp?opt=e-rcmc,online,unverified,unverified,unverified,Filing channel and physical requirements require independent evidence.,https://www.indiafilings.com/learn/apeda-registration|https://apeda.gov.in/sites/default/files/documents/2026-06/Registration_Procedure.pdf|https://apeda.gov.in/APEDA-FAQ
IF006-V1,IF006,IN,AUTH-NITI-DARPAN,"NITI Aayog Darpan requirements; applicable grant, FCRA and PML records framework",Darpan Unique ID,"NPOs needing Darpan ID for central grants, relevant FCRA/tax applications or bank account requirements. Separate bank duty from NPO application prerequisites.",,,,,,event_based,Before the relevant application/account process requires the ID; keep registration particulars current.,"{""type"": ""manual_review""}",Guidance URL; follow NITI current portal link. Do not assume Darpan substitutes for CSR-1 or tax registration.,researched_partial,0,2026-09-15,NGO / NPO Darpan unique ID,NGO,mandatory_if_applicable,central,transaction|industry,trust|society|section8,Entity registration and PAN particulars; governing-body and contact details; current portal checklist,https://www.niti.gov.in/divisions/cell/voluntary-action-cell,online,unverified,unverified,unverified,Guidance URL; follow NITI current portal link. Do not assume Darpan substitutes for CSR-1 or tax registration.,https://www.indiafilings.com/darpan-registration|https://www.niti.gov.in/divisions/cell/voluntary-action-cell
IF007-V1,IF007,IN,AUTH-GST,CGST Act section 29 and applicable registration rules,REG-16,"Registered person seeking cancellation on legally permitted grounds; transfers, cessation and exemptions need separate assessment.",,,,,,event_based,Determine event and statutory application period; outstanding obligations survive cancellation where law requires.,"{""type"": ""manual_review""}",Government entry point supplied; specific cancellation workflow still needs direct procedure verification.,researched_partial,0,2026-09-15,GST registration cancellation application,GST,mandatory_if_applicable,central,transaction|location,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,GSTIN; reason and event date; stock/liability particulars; supporting cessation/transfer evidence,https://www.gst.gov.in/,unverified,unverified,unverified,unverified,Government entry point supplied; specific cancellation workflow still needs direct procedure verification.,https://www.indiafilings.com/gst/cancellation|https://tutorial.gst.gov.in/downloads/news/welcome_kit_for_new_taxpyers.pdf
IF008-V1,IF008,IN,AUTH-GST,CGST Act section 45; CGST Rules rule 81,GSTR-10,Cancelled registrations within section 45 scope. Check taxpayer category and statutory exclusions; not a universal return for every GST registration class.,,,,,,event_based,"Within three months of cancellation date or cancellation-order date, whichever is later; applicable extensions require review.","{""type"": ""manual_review""}",,researched_partial,0,2026-09-15,GST final return after cancellation,GST,mandatory_if_applicable,central,transaction|date,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,Cancellation order and effective date; stock and capital-goods details; tax liability/payment records,https://www.gst.gov.in/,online,unverified,unverified,unverified,Filing channel and physical requirements require independent evidence.,https://www.indiafilings.com/learn/gstr-10-filing|https://tutorial.gst.gov.in/downloads/news/welcome_kit_for_new_taxpyers.pdf
IF009-V1,IF009,IN,AUTH-LLP,LLP Rules rule 37 and applicable amendments,LLP-24,"Eligible inactive LLP electing strike-off, after checking liabilities, filings, inactivity period and regulator consent.",,,,,,event_based,Application only after applicable eligibility period; not a recurring annual obligation.,"{""type"": ""manual_review""}",Execution of declarations and any notarisation remain separate from online submission.,researched_partial,0,2026-09-15,LLP voluntary strike-off application,LLP,optional_exit_procedure,central,transaction,llp,Statement of accounts; partner consent; declarations/affidavits and indemnities as applicable; regulator NOC for regulated activity,https://www.mca.gov.in/,online,unverified,unverified,unverified,Execution of declarations and any notarisation remain separate from online submission.,https://www.indiafilings.com/learn/llp-form-24-easily-close-a-llp|https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction_Kit_LLP_Form_No_24.pdf
IF010-V1,IF010,IN,AUTH-MCA,Companies Act sections 248/249; Removal of Names Rules,STK-2,Eligible company electing removal after liabilities and statutory restrictions are addressed.,,,,,,event_based,Event-based; satisfy eligibility and required filings before application.,"{""type"": ""manual_review""}",Section 8 and regulated-company restrictions require review; candidate entity mapping is not approval of eligibility.,researched_partial,0,2026-09-15,Company voluntary strike-off application,MCA,optional_exit_procedure,central,transaction,private_company|public_company|section8,Statement of accounts; member approvals; indemnities/affidavits; liability and litigation disclosures; applicable regulatory approvals,https://www.mca.gov.in/,online,unverified,unverified,unverified,Section 8 and regulated-company restrictions require review; candidate entity mapping is not approval of eligibility.,https://www.indiafilings.com/learn/strike-off-company|https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://mca.gov.in/
