assertion_id,rule_id,source_id,field_name,finding,verification_status
C001-V1-FIX-applicability_text,C001-V1,GST_ECO,applicability_text,The original unconditional e-commerce claim is overbroad.,supported_within_source_scope
C001-V1-FIX-turnover_basis,C001-V1,GST_ECO,turnover_basis,Turnover alone is insufficient.,supported_within_source_scope
C001-V1-GST_BIO-applicant_visit,C001-V1,GST_BIO,applicant_visit,GSK visit applies to specified authentication cases.,supported_within_source_scope
C002-V1-GST_1-filing_mode,C002-V1,GST_1,filing_mode,Online return process documented.,supported_within_source_scope
C003-V1-GST_3B-filing_mode,C003-V1,GST_3B,filing_mode,Online return process documented.,supported_within_source_scope
C006-V1-GST_4_FORM-filing_mode,C006-V1,GST_4_FORM,filing_mode,Online return process documented.,supported_within_source_scope
C007-V1-GST_9-filing_mode,C007-V1,GST_9,filing_mode,Online return process documented.,supported_within_source_scope
C008-V1-GST_9-filing_mode,C008-V1,GST_9,filing_mode,Online return process documented.,supported_within_source_scope
C002-V1-FIX-deadline_text,C002-V1,GST_1,deadline_text,Guide supplies monthly and quarterly dates.,supported_within_source_scope
C006-V1-FIX-deadline_text,C006-V1,GST_4,deadline_text,30 June replaced 30 April.,supported_within_source_scope
C006-V1-FIX-tax_period,C006-V1,GST_4,tax_period,Revised deadline applicability period.,supported_within_source_scope
C011-V1-FIX-turnover_basis,C011-V1,EINV,turnover_basis,"Threshold is more than INR 5 crore, not at least INR 5 crore.",supported_within_source_scope
C011-V1-FIX-deadline_text,C011-V1,EINV_30,deadline_text,Separate mandate threshold from portal age restriction.,supported_within_source_scope
C015-V1-MCA_PORTAL-application_url,C015-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C016-V1-MCA_PORTAL-application_url,C016-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C017-V1-MCA_PORTAL-application_url,C017-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C019-V1-MCA_PORTAL-application_url,C019-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C020-V1-MCA_PORTAL-application_url,C020-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C021-V1-MCA_PORTAL-application_url,C021-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C023-V1-MCA_PORTAL-application_url,C023-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C024-V1-MCA_PORTAL-application_url,C024-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C025-V1-MCA_PORTAL-application_url,C025-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C026-V1-MCA_PORTAL-application_url,C026-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C027-V1-MCA_PORTAL-application_url,C027-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C028-V1-MCA_PORTAL-application_url,C028-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
C029-V1-MCA_PORTAL-application_url,C029-V1,MCA_PORTAL,application_url,MCA21 filing route.,supported_within_source_scope
