app_trigger_id,compliance_id,rule_id,match_method,confidence,reviewed,codex_name,app_name
mca-aoc4,C020,C020-V1,alias_name,0.85,yes,AOC-4 (Financial Statements),AOC-4 Financial Statements Filing
mca-mgt7,C021,C021-V1,form_code,1.0,yes,MGT-7 / MGT-7A (Annual Return),MGT-7 / MGT-7A Annual Return
mca-dir3-kyc,C023,C023-V1,form_code,1.0,yes,Director DIN KYC / particulars update,DIR-3 KYC Annual Director KYC
mca-dpt3,C024,C024-V1,form_code,1.0,yes,DPT-3 (Return of Deposits),DPT-3 Return of Deposits
mca-msme1,C025,C025-V1,form_code,1.0,yes,MSME-1 (Outstanding Dues to MSME Suppliers),MSME-1 Half-Yearly Outstanding Dues
mca-adt1,C019,C019-V1,form_code,1.0,yes,ADT-1 (Auditor Appointment),ADT-1 Auditor Appointment Intimation
mca-inc20a,C017,C017-V1,form_code,1.0,yes,INC-20A (Commencement of Business),INC-20A Commencement of Business
mca-inc22a,,,none,0.0,no,,ACTIVE INC-22A (Legacy / Status Check)
mca-dir12,C028,C028-V1,form_code,1.0,yes,DIR-12 (Director Appointment/Cessation),DIR-12 Appointment / Resignation of Director
mca-pas3,C027,C027-V1,form_code,1.0,yes,PAS-3 (Return of Allotment),PAS-3 Return of Allotment
mca-chg1,C026,C026-V1,form_code,1.0,yes,CHG-1 (Creation/Modification of Charge),CHG-1 Registration of Charge
mca-sh7,IF003,IF003-V1,form_code,1.0,yes,Notice of alteration of share capital,SH-7 Alteration of Share Capital
mca-ben2,,,none,0.0,no,,BEN-2 Significant Beneficial Owner Return
mca-csr2,,,none,0.0,no,,CSR-2 Report on Corporate Social Responsibility
mca-llp-form8,C034,C034-V1,token,1.0,yes,LLP Form 8 (Statement of Account & Solvency),LLP Form 8 Statement of Account & Solvency
mca-llp-form11,C033,C033-V1,token,1.0,yes,LLP Form 11 (Annual Return),LLP Form 11 Annual Return
mca-agm,C022,C022-V1,token,0.75,yes,Annual General Meeting (AGM),Annual General Meeting
mca-board-meetings,,,none,0.0,no,,Minimum Board Meetings (Sec 173)
gst-reg-threshold,C001,C001-V1,manual,0.9,yes,GST Registration,GST Registration Threshold Crossed
gst-gstr1,C002,C002-V1,form_code,1.0,yes,GSTR-1 (Outward Supplies),GSTR-1 Outward Supplies Return
gst-gstr3b,C003,C003-V1,form_code,1.0,yes,GSTR-3B (Summary Return & Tax Payment),GSTR-3B Summary Return & Tax Payment
gst-cmp08,C005,C005-V1,form_code,1.0,yes,CMP-08 (Composition Scheme Statement),CMP-08 Composition Quarterly Statement
gst-gstr4,C006,C006-V1,form_code,1.0,yes,GSTR-4 (Composition Annual Return),GSTR-4 Composition Annual Return
gst-gstr9,C007,C007-V1,form_code,1.0,yes,GSTR-9 (Annual Return),GSTR-9 Annual Return
gst-gstr9c,C008,C008-V1,form_code,1.0,yes,GSTR-9C (Reconciliation Statement),GSTR-9C Reconciliation Statement
gst-einvoice,C011,C011-V1,alias_name,0.85,yes,E-Invoicing (IRN Generation),E-Invoicing Mandate Threshold
gst-eway,C014,C014-V1,manual,0.9,yes,E-Way Bill,E-Way Bill Generation
gst-lut,C013,C013-V1,form_code,1.0,yes,LUT for Exports (RFD-11),GST LUT for Zero-Rated Supplies
gst-itc04,,,none,0.0,no,,ITC-04 Job Work Goods Return
gst-gstr7,C009,C009-V1,form_code,1.0,yes,GSTR-7 (TDS under GST),GSTR-7 TDS under GST
gst-gstr8,C010,C010-V1,form_code,1.0,yes,GSTR-8 (TCS by E-commerce Operators),GSTR-8 TCS by E-commerce Operator
gst-apob,C012,C012-V1,manual,0.9,yes,GST Registration Amendment / Additional Place of Business (APOB),Additional Place of Business (New State)
gst-asmt10,C103,C103-V1,token,0.25,no,GST Show Cause Notice (SCN) Response,GST ASMT-10 / DRC-01 Notice Response
it-advance-tax,C052,C052-V1,alias_name,0.85,yes,Advance Tax (4 Instalments),Advance Tax Installments
it-business-itr,C035,C035-V1,form_code,1.0,yes,LLP ITR-5,Business Income Tax Return
it-44ab-audit,C050,C050-V1,token,0.5,yes,Income-tax audit report,Tax Audit under Section 44AB
