rule_id,compliance_id,jurisdiction_id,authority_id,governing_law,form_code,applicability_text,turnover_basis,employee_basis,effective_from,effective_to,tax_period,frequency,deadline_text,deadline_json,exceptions_text,verification_status,automation_enabled,checked_on,compliance_name,department_id,obligation_kind,scope_level,trigger_types,entity_types,documents,application_url,filing_mode,physical_submission,applicant_visit,inspection,process_notes,source_urls
AX001-V1,AX001,IN,AUTH-SECURITIES,SEBI/depository/intermediary KYC framework,,Applicant opening or updating a securities account; intermediary and residency category determine documents.,,,,,,event_based,At onboarding and when notified of required updates.,"{""type"": ""manual_review""}",Video/in-person verification and original-document checks depend on approved method; do not assume all channels are visit-free.,researched_partial,0,2026-09-15,Securities account opening and KYC updates,SECURITIES,mandatory_if_applicable,central,transaction|notice,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,PAN/identity/address and bank evidence; current intermediary KYC checklist,https://investor.sebi.gov.in/securities-trading.html,online_or_assisted,unverified,unverified,unverified,Video/in-person verification and original-document checks depend on approved method; do not assume all channels are visit-free.,https://investor.sebi.gov.in/securities-trading.html
AX002-V1,AX002,IN,AUTH-INCOME_TAX,Income-tax law applicable to the tax period and transfer date,,"Holder disposing of securities; determine capital asset versus business stock, instrument, holding period, STT conditions and residency.",,,,,,event_based,Applicable return and advance-tax deadlines; select correct tax-year regime.,"{""type"": ""manual_review""}","No single equity rate applies to all stocks, funds, derivatives or foreign securities. Map pre/post 1 April 2026 law and period-specific forms before automation; business trading turnover is not portfolio value.",researched_partial,0,2026-09-15,Report securities sale income and calculate applicable tax,INCOME_TAX,mandatory_if_applicable,central,transaction|date|law_change,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Contract notes; acquisition cost; corporate actions; STT/charges; broker ledger and statements,https://www.incometaxindia.gov.in/en/sale-of-shares,online,unverified,unverified,unverified,"No single equity rate applies to all stocks, funds, derivatives or foreign securities. Map pre/post 1 April 2026 law and period-specific forms before automation; business trading turnover is not portfolio value.",https://www.incometaxindia.gov.in/en/sale-of-shares
AX003-V1,AX003,IN,AUTH-INCOME_TAX,Applicable income-tax foreign asset/income disclosure requirements,,Assess taxpayer residence category and relevant return schedules for foreign shares/accounts/income; calendar-year asset reporting may differ from financial-year income.,,,,,,event_based,Relevant income-tax return deadline; check exact schedule reference period.,"{""type"": ""manual_review""}",Do not assign Schedule FA to every NRI or RNOR merely because assets are overseas. Foreign tax credit and treaty relief need their own conditions.,researched_partial,0,2026-09-15,Foreign asset and income disclosure review,INCOME_TAX,mandatory_if_applicable,central,date|transaction|location,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Foreign account statements; holdings and peak/closing balances; income and foreign tax evidence,https://www.incometax.gov.in/iec/foportal/nudge/nudge-schedule-fa,online,unverified,unverified,unverified,Do not assign Schedule FA to every NRI or RNOR merely because assets are overseas. Foreign tax credit and treaty relief need their own conditions.,https://www.incometax.gov.in/iec/foportal/nudge/nudge-schedule-fa
AX004-V1,AX004,IN,AUTH-FEMA,FEMA; RBI Liberalised Remittance Scheme and applicable overseas investment rules,,Resident individuals remitting for permitted overseas investments; aggregate all LRS purposes in the financial year.,,,,,,event_based,Before remittance; review aggregate USD 250000 annual ceiling and permitted purpose.,"{""type"": ""manual_review""}",LRS is not a company/HUF remittance allowance. Overseas margin remittances are restricted; OPI/ODI classification and applicable tax collection require separate assessment.,researched_partial,0,2026-09-15,Resident individual overseas investment remittance screening,FEMA,mandatory_if_applicable,central,transaction|date|location,individual,PAN; AD-bank purpose declaration; prior FY remittances; investment details,https://www.rbi.org.in/scripts/notificationuser.aspx?id=10192,unverified,unverified,unverified,unverified,LRS is not a company/HUF remittance allowance. Overseas margin remittances are restricted; OPI/ODI classification and applicable tax collection require separate assessment.,https://www.rbi.org.in/scripts/notificationuser.aspx?id=10192
AX005-V1,AX005,IN,AUTH-SECURITIES,"SEBI (Prohibition of Insider Trading) Regulations 2015, as amended",,Persons possessing UPSI or otherwise within insider definitions; exceptions and defences are fact-specific.,,,,,,event_based,Before trading or communicating information; ongoing conduct restriction.,"{""type"": ""manual_review""}",Not a filing for every retail investor. Verify amendments after the inspected consolidation.,researched_partial,0,2026-09-15,Insider trading and UPSI conduct restrictions,SECURITIES,conduct_restriction,central,transaction|law_change,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Insider status; information access timeline; lawful-purpose records where relevant,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752572636085.pdf,unverified,unverified,unverified,unverified,Not a filing for every retail investor. Verify amendments after the inspected consolidation.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752572636085.pdf
AX006-V1,AX006,IN,AUTH-SECURITIES,SEBI PIT Regulations and applicable code of conduct,,Designated persons and covered relatives under the relevant organisation code.,,,,,,event_based,Before trade and within organisation-specific disclosure periods.,"{""type"": ""manual_review""}",Do not apply employer pre-clearance or contra-trade restrictions universally to retail investors.,researched_partial,0,2026-09-15,Designated-person trading window and pre-clearance,SECURITIES,mandatory_if_applicable,central,transaction|notice|director_partner,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Designation; related persons; pre-clearance; trading plan/code and holdings,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752572636085.pdf,unverified,unverified,unverified,unverified,Do not apply employer pre-clearance or contra-trade restrictions universally to retail investors.,https://www.sebi.gov.in/sebi_data/attachdocs/jul-2025/1752572636085.pdf
AX007-V1,AX007,IN,AUTH-SECURITIES,"SEBI SAST Regulations 2011, as amended",,Listed-company shareholders/acquirers and persons acting in concert whose holdings/change trigger current disclosure provisions.,,,,,,event_based,Assess before transaction; current regulation determines deadline and recipients.,"{""type"": ""manual_review""}","Current thresholds, exemptions and system-driven disclosure rules await provision-level review; no executable threshold is asserted.",researched_partial,0,2026-09-15,Substantial shareholding acquisition/disposal disclosure review,SECURITIES,mandatory_if_applicable,central,transaction|director_partner,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Holdings and voting rights; PAC aggregation; last disclosure; transaction dates,https://sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&smid=0&ssid=3,unverified,unverified,unverified,unverified,"Current thresholds, exemptions and system-driven disclosure rules await provision-level review; no executable threshold is asserted.",https://sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&smid=0&ssid=3
AX008-V1,AX008,IN,AUTH-SECURITIES,"SEBI SAST Regulations 2011, as amended",,Proposed acquisition of listed-company voting rights or control; aggregate PAC and evaluate exemptions.,,,,,,event_based,Before binding acquisition/announcement; transaction-specific open-offer timetable.,"{""type"": ""manual_review""}",Do not equate substantial-shareholder disclosure with an open-offer obligation.,researched_partial,0,2026-09-15,Acquisition of control / open offer screening,SECURITIES,mandatory_if_applicable,central,transaction|director_partner,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Acquisition agreements; control rights; PAC and shareholding; exemption analysis,https://sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&smid=0&ssid=3,unverified,unverified,unverified,unverified,Do not equate substantial-shareholder disclosure with an open-offer obligation.,https://sebi.gov.in/sebiweb/home/HomeAction.do?doListing=yes&sid=2&smid=0&ssid=3
AX009-V1,AX009,IN,AUTH-SECURITIES,Applicable SEBI IA/RA regulations and current circulars,,Person providing covered investment advice or research services; assess exclusions and scope of paid/public services.,,,,,,event_based,Before covered activity; registration conditions control ongoing reporting and fees.,"{""type"": ""manual_review""}",Owning or trading one’s own shares does not itself require IA/RA registration. Registration is not a substitute for each ongoing regulatory obligation.,researched_partial,0,2026-09-15,Investment adviser registration and conditions,SECURITIES,mandatory_if_applicable,central,industry|licence|law_change,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Applicant constitution/identity; qualifications; certifications; compliance arrangements; current application checklist,https://iaraportal.sebi.gov.in/,online,unverified,unverified,unverified,Owning or trading one’s own shares does not itself require IA/RA registration. Registration is not a substitute for each ongoing regulatory obligation.,https://iaraportal.sebi.gov.in/
AX010-V1,AX010,IN,AUTH-SECURITIES,Applicable SEBI IA/RA regulations and current circulars,,Person providing covered investment advice or research services; assess exclusions and scope of paid/public services.,,,,,,event_based,Before covered activity; registration conditions control ongoing reporting and fees.,"{""type"": ""manual_review""}",Owning or trading one’s own shares does not itself require IA/RA registration. Registration is not a substitute for each ongoing regulatory obligation.,researched_partial,0,2026-09-15,Research analyst registration and conditions,SECURITIES,mandatory_if_applicable,central,industry|licence|law_change,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other|individual|huf,Applicant constitution/identity; qualifications; certifications; compliance arrangements; current application checklist,https://iaraportal.sebi.gov.in/,online,unverified,unverified,unverified,Owning or trading one’s own shares does not itself require IA/RA registration. Registration is not a substitute for each ongoing regulatory obligation.,https://iaraportal.sebi.gov.in/
