item_id,item_type,reference_id,status,work_required
COV-AN-professional_tax,state_topic,AN-professional_tax,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-shops_establishments,state_topic,AN-shops_establishments,partial_rule_research,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-labour_welfare_fund,state_topic,AN-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-factory_licensing,state_topic,AN-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-pollution_cte,state_topic,AN-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AN-pollution_cto,state_topic,AN-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AN-hazardous_waste,state_topic,AN-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AN-fire_safety,state_topic,AN-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-municipal_trade,state_topic,AN-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AN-building_occupancy,state_topic,AN-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AN-state_drug_licensing,state_topic,AN-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-excise,state_topic,AN-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-legal_metrology,state_topic,AN-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-rera,state_topic,AN-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-psara,state_topic,AN-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-state_food_safety,state_topic,AN-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-groundwater,state_topic,AN-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AN-boilers,state_topic,AN-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-professional_tax,state_topic,AP-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
COV-AP-shops_establishments,state_topic,AP-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-labour_welfare_fund,state_topic,AP-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-factory_licensing,state_topic,AP-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
