correction_id,legacy_row_id,field_name,original_value,replacement_or_action,source_id,status
FIX-DUP-GSTR9C,M091,Compliance_Name,GST Audit / Reconciliation (GSTR-9C),Merged into C008; GSTR-9C is not a separate second GST audit,,duplicate_resolved
FIX-1-applicability_text,M001,applicability_text,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd","GST liability depends on supply type, state, PAN aggregate turnover and compulsory-registration exceptions. Do not treat every interstate service supplier or every e-commerce seller as compulsorily registrable. Notification 34/2023 gives qualifying unregistered goods sellers through ECOs an exemption.",GST_ECO,corrected_or_qualified
FIX-1-turnover_basis,M001,turnover_basis,Goods >Rs40L (Rs20L special-cat states); Services >Rs20L (Rs10L special-cat); mandatory regardless of turnover for interstate supply/e-commerce/casual taxable persons,"PAN aggregate turnover across India; ordinary goods/services limits are subject to specified states, products, exclusions and section 24 exceptions. Exact state/supply evaluation required.",GST_ECO,corrected_or_qualified
FIX-2-deadline_text,M002,deadline_text,11th of following month (monthly); 13th for QRMP quarterly,Monthly: 11th of following month. Quarterly: 13th after quarter end. Apply notified period-specific extensions.,GST_1,corrected_or_qualified
FIX-6-deadline_text,M006,deadline_text,30 April following FY,"30 June following financial-year end, from FY 2024-25 onwards; check period-specific extensions.",GST_4,corrected_or_qualified
FIX-6-tax_period,M006,tax_period,,FY 2024-25 onwards,GST_4,corrected_or_qualified
FIX-11-turnover_basis,M011,turnover_basis,Mandatory if aggregate turnover >Rs5Cr in any FY since 2017-18,"Aggregate turnover exceeding INR 50000000 in a relevant preceding FY since 2017-18, subject to exempt supplier classes and covered documents.",EINV,corrected_or_qualified
FIX-11-deadline_text,M011,deadline_text,Before/at the time of invoice issuance,Generate IRN within the applicable invoice requirements; AATO >= INR 100000000 has a 30-day portal reporting restriction from 1 April 2025. This is not permission to issue a required e-invoice without an IRN.,EINV_30,corrected_or_qualified
FIX-20-deadline_text,M020,deadline_text,"Within 30 days of AGM (OPC: 180 days of FY end, no AGM)","Section 137: ordinarily within 30 days of AGM; special handling for no AGM, unadopted accounts and OPC. Determine actual due date from applicable company facts.",MCA_ACT,corrected_or_qualified
FIX-21-deadline_text,M021,deadline_text,Within 60 days of AGM,"Within 60 days of AGM or the date it should have been held, as applicable; exemptions/special entity rules require checking.",MCA_ACT,corrected_or_qualified
FIX-21-exceptions_text,M021,exceptions_text,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.","Select MGT-7A only where OPC/small-company rules apply. From 1 December 2025, small-company prescribed capital and turnover limits are INR 10 crore and INR 100 crore; statutory exclusions still apply, including public, holding/subsidiary and Section 8 companies.",MCA_SMALL,corrected_or_qualified
FIX-23-frequency,M023,frequency,"Annual (now triennial for unchanged details, per 2026 rule change)",three_year_cycle_plus_event_updates,DIN_2026,corrected_or_qualified
FIX-23-deadline_text,M023,deadline_text,30 September (Web form if unchanged; full e-form if PAN/mobile/email changed),From 31 March 2026: new three-year KYC framework. Directors with KYC already completed as described in the announcement next file by 30 June 2028. Determine first-filing and changed-details requirements from current Rule 12A.,DIN_2026,corrected_or_qualified
FIX-23-effective_from,M023,effective_from,,2026-03-31,DIN_2026,corrected_or_qualified
