document_id,rule_id,document_name,entry_kind,requirement_status,condition_text,source_id
C001-V1-DOC,C001-V1,"PAN, Aadhaar, business constitution proof, address proof, bank details, photo, DSC/e-sign (mandatory for companies/LLPs)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C002-V1-DOC,C002-V1,"Sales invoice data, debit/credit notes, HSN summary",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C003-V1-DOC,C003-V1,"GSTR-2B reconciliation, tax computation, ITC ledger",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C004-V1-DOC,C004-V1,Self-assessed or 35% fixed-sum method challan,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C005-V1-DOC,C005-V1,"Turnover summary, tax computation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C006-V1-DOC,C006-V1,Consolidated quarterly CMP-08 data,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C007-V1-DOC,C007-V1,"GSTR-1, GSTR-3B, GSTR-2B consolidated data for the year",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C008-V1-DOC,C008-V1,Audited financial statements reconciled with GSTR-9 figures,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C009-V1-DOC,C009-V1,"TDS deduction details, deductee GSTINs",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C010-V1-DOC,C010-V1,Supplier-wise supply & TCS collected data,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C011-V1-DOC,C011-V1,Invoice data via API/offline tool to Invoice Registration Portal,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C012-V1-DOC,C012-V1,"Address proof of new location, board resolution (companies)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C013-V1-DOC,C013-V1,"Self-declaration, authorized signatory KYC",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C014-V1-DOC,C014-V1,"Invoice/delivery challan, transporter/vehicle details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C015-V1-DOC,C015-V1,"Proposed name(s), significance of name",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C016-V1-DOC,C016-V1,"MOA, AOA, director/subscriber KYC, DSC, registered office proof, NOC from owner",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C017-V1-DOC,C017-V1,Bank statement showing subscription money received,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C018-V1-DOC,C018-V1,"Board minutes, attendance register",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C019-V1-DOC,C019-V1,"Auditor consent letter, eligibility certificate",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C020-V1-DOC,C020-V1,"Board's report, auditor's report, financial statements, AOC-2",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C021-V1-DOC,C021-V1,"Shareholding pattern, director details, board meeting record, indebtedness",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C022-V1-DOC,C022-V1,"Notice, agenda, financial statements to be tabled",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C023-V1-DOC,C023-V1,"PAN, Aadhaar, mobile/email OTP verification, DSC",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C024-V1-DOC,C024-V1,"Auditor certificate, deposit/loan details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C025-V1-DOC,C025-V1,"MSME vendor ledger, dues outstanding beyond 45 days",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C026-V1-DOC,C026-V1,"Loan/charge agreement, instrument creating charge",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C027-V1-DOC,C027-V1,"Board resolution, list of allottees, valuation report (if applicable)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C028-V1-DOC,C028-V1,"Board resolution, consent (DIR-2), resignation letter",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C029-V1-DOC,C029-V1,"New premises proof, NOC/rent agreement, utility bill",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C030-V1-DOC,C030-V1,"Books of accounts, vouchers, bank statements, confirmations",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C031-V1-DOC,C031-V1,"Statutory registers, filings record, minutes",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C032-V1-DOC,C032-V1,"Partner KYC, DPIN/DIN, LLP agreement, registered office proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C033-V1-DOC,C033-V1,"Partner details, contribution summary, changes during year",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C034-V1-DOC,C034-V1,"Balance sheet, P&L summary, solvency declaration, MSME creditor disclosure",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C035-V1-DOC,C035-V1,"Financial statements, partner remuneration/interest details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C036-V1-DOC,C036-V1,"Partnership deed, PAN, address proof, partner ID proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C037-V1-DOC,C037-V1,"Supplementary deed, amended partner details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C038-V1-DOC,C038-V1,"Trust deed, settlor/trustee ID & address proof, registered office proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C039-V1-DOC,C039-V1,"Memorandum of Association, rules & regulations, governing body ID proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C040-V1-DOC,C040-V1,"MOA/AOA (non-profit objects), director KYC, licence application",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C041-V1-DOC,C041-V1,"Trust deed/registration certificate, activity report, financials",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C042-V1-DOC,C042-V1,"12A certificate, activity proof, financials",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C043-V1-DOC,C043-V1,"Audited financials, application-of-income statement",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C044-V1-DOC,C044-V1,"Audit report, income & application of funds statement",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C045-V1-DOC,C045-V1,"Trust/society deed, 3-year activity report, FCRA-designated bank account (SBI Delhi Main Branch)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C046-V1-DOC,C046-V1,"Identity proof, address proof, photo (for individuals)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C047-V1-DOC,C047-V1,"PAN of entity, address proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C048-V1-DOC,C048-V1,"Form 26AS/AIS, bank statements, P&L, balance sheet, investment proofs",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C049-V1-DOC,C049-V1,"Tax audit report (3CA/3CB-3CD), audited financials",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C050-V1-DOC,C050-V1,"Books of accounts, GST reconciliation, MSME payment data (Clause 26A/44)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C051-V1-DOC,C051-V1,"Related-party transaction details, benchmarking study, TP documentation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C052-V1-DOC,C052-V1,Estimated income & tax computation,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C053-V1-DOC,C053-V1,"Challan details, deductee-wise TDS computation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C054-V1-DOC,C054-V1,"Salary TDS computation, PAN of employees",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C055-V1-DOC,C055-V1,"Vendor/contractor TDS details, PAN",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C056-V1-DOC,C056-V1,"Form 15CA/15CB, DTAA documentation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C057-V1-DOC,C057-V1,TCS collection details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C058-V1-DOC,C058-V1,Generated from TRACES after Q4 Form 24Q filing,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C059-V1-DOC,C059-V1,Generated from TRACES,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C060-V1-DOC,C060-V1,"Sale deed, seller PAN, payment details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C061-V1-DOC,C061-V1,"CA certificate (15CB), remittance purpose & DTAA details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C062-V1-DOC,C062-V1,High-value transaction records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C063-V1-DOC,C063-V1,"Employee headcount proof, PAN, address proof, bank details, DSC",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C064-V1-DOC,C064-V1,"Employee-wise wage & contribution data, UAN details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C065-V1-DOC,C065-V1,Consolidated annual contribution statements,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
