source_id,url,title,source_type,supports,retrieval_method,accessed_on
NSWS,https://www.nsws.gov.in/state-list,NSWS state and UT directory,directory,All 36 state/UT names; directory inclusion does not prove service availability,opened_page,2026-09-14
NSWS_FAQ,https://www.nsws.gov.in/faqs,NSWS FAQs,guidance,Approval discovery and application routing; not an exhaustive compliance list,opened_page,2026-09-14
CPCB_DIR,https://cpcb.gov.in/spcbs-pccs/,CPCB SPCB/PCC directory (1 April 2026),directory,State pollution authority websites; directory still labels Jammu and Kashmir as a state and omits Ladakh,opened_page,2026-09-14
LABOUR_DIR,https://clc.gov.in/clc/node/535,Chief Labour Commissioner state department directory,directory,Department identity only; includes legacy UT names,search_excerpt,2026-09-14
GST_1,https://tutorial.gst.gov.in/userguide/returns/GSTR_1.htm,GST portal GSTR-1 guide,guidance,Filing process and monthly/quarterly deadlines,opened_page,2026-09-14
GST_3B,https://tutorial.gst.gov.in/userguide/returns/GSTR3B.htm,GST portal GSTR-3B guide,guidance,Online return and tax payment,search_excerpt,2026-09-14
GST_4,https://www.dpe.gov.in/static/uploads/2025/11/c67efbc82643df956234518bc7f0d182.pdf,Department of Revenue reform report,official_report,GSTR-4 due 30 June from FY 2024-25,search_excerpt,2026-09-14
GST_4_FORM,https://tutorial.gst.gov.in/userguide/returns/Manual_GSTR4.htm,GST GSTR-4 user manual,guidance,Online filing and payment,search_excerpt,2026-09-14
GST_9,https://tutorial.gst.gov.in/downloads/news/faq_on_gstr9_for_24_25_dt_15_oct_25_v6_final.pdf,GST annual-return FAQ FY 2024-25,guidance,Annual return and GSTR-9C late-fee treatment,search_excerpt,2026-09-14
GST_ECO,https://gstcouncil.gov.in/sites/default/files/2024-02/october_newsletter.pdf,GST Council October 2023 newsletter,official_report,Conditional registration exemption for goods supplied through ECOs; notification 34/2023,search_excerpt,2026-09-14
EINV,https://einvoice6.gst.gov.in/content/e-invoice-exemption-declaration-functionality-made-available/,GST IRP e-invoice exemption guidance,guidance,Turnover exceeding INR 5 crore and exempt supplier classes,search_excerpt,2026-09-14
EINV_30,https://einvoice6.gst.gov.in/content/revised-time-limit-for-e-invoice-reporting-for-businesses-with-aato-of-%E2%82%B910-crores-above/,GST IRP reporting time restriction,guidance,AATO at least INR 10 crore; 30-day invoice reporting from 1 April 2025,search_excerpt,2026-09-14
MCA_ACT,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf,Companies Act 2013,statute,Core company obligations; subordinate rules and latest exemptions need separate checks,search_excerpt,2026-09-14
MCA_SMALL,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2204766&lang=1&reg=3,MCA small-company threshold reform,official_release,INR 10 crore paid-up capital and INR 100 crore turnover from 1 December 2025,search_excerpt,2026-09-14
MCA_PORTAL,https://mca.gov.in/,MCA21 portal,portal,MCA/LLP electronic filing services,search_excerpt,2026-09-14
LLP_8,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_LLP%20Form%20No.%208.pdf,LLP Form 8 instruction kit,guidance,Statement of account and solvency filing timeline,search_excerpt,2026-09-14
IT_FORMS,https://www.incometax.gov.in/iec/foportal/newformpage/forms?mobile-app=1,Income Tax Department old/new form directory,directory,24Q to 138; 26Q to 140; 27Q to 144; 27EQ to 143; 10BD/BE to 113/114,opened_page,2026-09-14
IT_AUDIT,https://www.incometax.gov.in/iec/foportal/node/11719,Income Tax Forms FAQs,guidance,"Audit thresholds and Form 26 transition; direct open returned 403, official search excerpt available",search_excerpt,2026-09-14
IT_RETURNS,https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/income-tax-returns,Income Tax returns FAQs,guidance,AY 2026-27 filing categories; non-audit deadline is not uniformly 31 July,search_excerpt,2026-09-14
