Department_Entity,Compliance_Category,Compliance_Name,Governing_Law,Jurisdiction,Applicable_Entity_Types,Turnover_Applicability,Employee_Headcount_Threshold,Trigger_Type,Frequency,Due_Date_Timeline,Digital_or_Physical,Official_Website,Key_Documents_Required,Penalty_Late_Fee,Notes
GST,GST & Indirect Tax,GST Registration,CGST Act 2017 / SGST Acts,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Goods >Rs40L (Rs20L special-cat states); Services >Rs20L (Rs10L special-cat); mandatory regardless of turnover for interstate supply/e-commerce/casual taxable persons,N/A,Turnover Trigger,"One-time, then ongoing",Within 30 days of becoming liable,Digital (gst.gov.in) — officer may conduct physical premises verification in some cases,https://www.gst.gov.in,"PAN, Aadhaar, business constitution proof, address proof, bank details, photo, DSC/e-sign (mandatory for companies/LLPs)","10% of tax due (min Rs10,000), 100% if deliberate evasion",Compulsory registration also applies to e-commerce sellers and casual/non-resident taxable persons irrespective of turnover
GST,GST & Indirect Tax,GSTR-1 (Outward Supplies),"CGST Act 2017, Sec 37",Central,GST registered,Monthly if turnover >Rs5Cr; quarterly (IFF optional) under QRMP if <=Rs5Cr,N/A,Date Trigger,Monthly / Quarterly (QRMP),11th of following month (monthly); 13th for QRMP quarterly,Digital only,https://www.gst.gov.in,"Sales invoice data, debit/credit notes, HSN summary",Rs50/day (Rs25 CGST+Rs25 SGST); Rs20/day for nil returns,QRMP taxpayers can file optional monthly IFF for B2B invoices
GST,GST & Indirect Tax,GSTR-3B (Summary Return & Tax Payment),"CGST Act 2017, Sec 39",Central,GST registered,Monthly if turnover >Rs5Cr; quarterly under QRMP if <=Rs5Cr,N/A,Date Trigger,Monthly / Quarterly,20th monthly; quarterly filers 22nd (Category X states) or 24th (Category Y states) of month after quarter,Digital only,https://www.gst.gov.in,"GSTR-2B reconciliation, tax computation, ITC ledger",Rs50/day (Rs20/day nil) + 18% p.a. interest on late tax paid,Late filing blocks recipients' ITC claims
GST,GST & Indirect Tax,PMT-06 (QRMP Monthly Tax Payment),CGST Rules,Central,GST registered under QRMP,<=Rs5Cr turnover,N/A,Date Trigger,Monthly (for month 1 & 2 of quarter),25th of following month,Digital only,https://www.gst.gov.in,Self-assessed or 35% fixed-sum method challan,Interest 18% p.a. on shortfall,Applies only to QRMP quarterly filers
GST,GST & Indirect Tax,CMP-08 (Composition Scheme Statement),"CGST Act, Composition Rules",Central,"Sole Proprietorship, Partnership, LLP, Pvt Ltd (composition dealers only)",<=Rs1.5Cr (Rs75L special-cat states),N/A,Turnover Trigger,Quarterly,18th of month after quarter,Digital only,https://www.gst.gov.in,"Turnover summary, tax computation","Rs200/day (Rs100 CGST+Rs100 SGST) capped at Rs5,000",Composition dealers cannot claim ITC
GST,GST & Indirect Tax,GSTR-4 (Composition Annual Return),"CGST Act, Sec 44",Central,Composition dealers,<=Rs1.5Cr,N/A,Date Trigger,Annual,30 April following FY,Digital only,https://www.gst.gov.in,Consolidated quarterly CMP-08 data,"Rs200/day, capped at Rs5,000",
GST,GST & Indirect Tax,GSTR-9 (Annual Return),"CGST Act, Sec 44",Central,All regular GST taxpayers,Mandatory >Rs2Cr; optional below,N/A,Turnover Trigger,Annual,31 December following FY,Digital only,https://www.gst.gov.in,"GSTR-1, GSTR-3B, GSTR-2B consolidated data for the year",Rs200/day capped at 0.25% of state turnover,Composition dealers file GSTR-9A instead
GST,GST & Indirect Tax,GSTR-9C (Reconciliation Statement),"CGST Act, Sec 44",Central,Taxpayers crossing audit threshold,Mandatory >Rs5Cr,N/A,Turnover Trigger,Annual,31 December following FY (filed with GSTR-9),Digital only,https://www.gst.gov.in,Audited financial statements reconciled with GSTR-9 figures,Same as GSTR-9 (part of same filing),"Now self-certified by taxpayer, no separate CA certification mandated"
GST,GST & Indirect Tax,GSTR-7 (TDS under GST),"CGST Act, Sec 51",Central,Govt departments/notified TDS deductors,N/A,N/A,Notice Trigger,Monthly,10th of following month,Digital only,https://www.gst.gov.in,"TDS deduction details, deductee GSTINs","Rs200/day (Rs100+Rs100), max Rs5,000","Applies to specified govt/PSU deductors, not typical private entities"
GST,GST & Indirect Tax,GSTR-8 (TCS by E-commerce Operators),"CGST Act, Sec 52",Central,E-commerce operators,N/A,N/A,Industry Trigger,Monthly,10th of following month,Digital only,https://www.gst.gov.in,Supplier-wise supply & TCS collected data,"Late fee Rs200/day, max Rs5,000",Applicable to marketplace e-commerce operators only
GST,GST & Indirect Tax,E-Invoicing (IRN Generation),"CGST Rules, Rule 48(4)",Central,B2B GST-registered suppliers,Mandatory if aggregate turnover >Rs5Cr in any FY since 2017-18,N/A,Turnover Trigger,"Real-time, per transaction",Before/at the time of invoice issuance,Digital only (via IRP/GSP),https://einvoice1.gst.gov.in,Invoice data via API/offline tool to Invoice Registration Portal,Invoice without IRN treated as not issued; ITC risk to recipient,"Threshold has been reduced multiple times (from Rs500Cr to Rs5Cr); once applicable, always applicable"
GST,GST & Indirect Tax,GST Registration Amendment / Additional Place of Business (APOB),"CGST Rules, Rule 19",Central,GST registered entities,N/A,N/A,Location Trigger,Event-based,Within 15 days of change,Digital only,https://www.gst.gov.in,"Address proof of new location, board resolution (companies)",Delay risks mismatch during audits/inspection,Triggered whenever business expands to a new state/premises
