review_id,rule_id,field_name,review_status,evidence_ids_json,review_note
C001-V1-governing_law,C001-V1,governing_law,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-applicability_text,C001-V1,applicability_text,source_scoped_partial,"[""C001-V1-FIX-applicability_text""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-turnover_basis,C001-V1,turnover_basis,source_scoped_partial,"[""C001-V1-FIX-turnover_basis""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-employee_basis,C001-V1,employee_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-deadline_text,C001-V1,deadline_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-documents,C001-V1,documents,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-application_url,C001-V1,application_url,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-filing_mode,C001-V1,filing_mode,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-physical_submission,C001-V1,physical_submission,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-applicant_visit,C001-V1,applicant_visit,source_scoped_partial,"[""C001-V1-GST_BIO-applicant_visit""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C001-V1-inspection,C001-V1,inspection,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-governing_law,C002-V1,governing_law,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-applicability_text,C002-V1,applicability_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-turnover_basis,C002-V1,turnover_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-employee_basis,C002-V1,employee_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-deadline_text,C002-V1,deadline_text,source_scoped_partial,"[""C002-V1-FIX-deadline_text""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-documents,C002-V1,documents,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-application_url,C002-V1,application_url,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-filing_mode,C002-V1,filing_mode,source_scoped_partial,"[""C002-V1-GST_1-filing_mode""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-physical_submission,C002-V1,physical_submission,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-applicant_visit,C002-V1,applicant_visit,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C002-V1-inspection,C002-V1,inspection,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-governing_law,C003-V1,governing_law,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-applicability_text,C003-V1,applicability_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-turnover_basis,C003-V1,turnover_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-employee_basis,C003-V1,employee_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-deadline_text,C003-V1,deadline_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-documents,C003-V1,documents,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-application_url,C003-V1,application_url,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-filing_mode,C003-V1,filing_mode,source_scoped_partial,"[""C003-V1-GST_3B-filing_mode""]",Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-physical_submission,C003-V1,physical_submission,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-applicant_visit,C003-V1,applicant_visit,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C003-V1-inspection,C003-V1,inspection,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-governing_law,C004-V1,governing_law,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-applicability_text,C004-V1,applicability_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-turnover_basis,C004-V1,turnover_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-employee_basis,C004-V1,employee_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-deadline_text,C004-V1,deadline_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-documents,C004-V1,documents,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-application_url,C004-V1,application_url,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-filing_mode,C004-V1,filing_mode,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-physical_submission,C004-V1,physical_submission,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-applicant_visit,C004-V1,applicant_visit,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C004-V1-inspection,C004-V1,inspection,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-governing_law,C005-V1,governing_law,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-applicability_text,C005-V1,applicability_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-turnover_basis,C005-V1,turnover_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-employee_basis,C005-V1,employee_basis,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-deadline_text,C005-V1,deadline_text,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-documents,C005-V1,documents,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
C005-V1-application_url,C005-V1,application_url,not_independently_verified,[],Read assertion scope and source; a framework or portal citation is not complete field verification. All automation remains disabled.
