compliance_id,rule_id,topic,decision,indiafilings_url,official_source_urls,conflict_or_scope_note,checked_on
IF001,IF001-V1,Annual foreign liabilities and assets return,added,https://www.indiafilings.com/learn/what-is-fla-return,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=95,IndiaFilings pages disagree between FLAIR and the legacy email-Excel route. RBI current FAQ controls; do not impose the article universal September 30 revision deadline.,2026-09-15
IF002,IF002-V1,Half-yearly share capital reconciliation — PAS-6,added,https://www.indiafilings.com/learn/form-pas-6,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_PAS-6.pdf,Topic confirmed; the full private-company transition and exemptions remain unresolved rather than copied wholesale.,2026-09-15
IF003,IF003-V1,Notice of alteration of share capital,added,https://www.indiafilings.com/learn/eform-sh-7,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_SH-7.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF004,IF004-V1,Auditor resignation notice,added,https://www.indiafilings.com/learn/removal-or-change-of-auditor-of-company,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://www.mca.gov.in/Ministry/pdf/NCARules_Chapter10.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF005,IF005-V1,APEDA scheduled-product exporter registration / renewal,added,https://www.indiafilings.com/learn/apeda-registration,https://apeda.gov.in/sites/default/files/documents/2026-06/Registration_Procedure.pdf|https://apeda.gov.in/APEDA-FAQ,IndiaFilings article describes one-time/no-renewal registration and the older APEDA route; official procedure states five years and DGFT e-RCMC. Generic C080 does not encode this product-specific requirement.,2026-09-15
IF006,IF006-V1,NGO / NPO Darpan unique ID,added,https://www.indiafilings.com/darpan-registration,https://www.niti.gov.in/divisions/cell/voluntary-action-cell,Commercial page blanket CSR-funding claim not adopted as a separately verified universal requirement.,2026-09-15
IF007,IF007-V1,GST registration cancellation application,added,https://www.indiafilings.com/gst/cancellation,https://tutorial.gst.gov.in/downloads/news/welcome_kit_for_new_taxpyers.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF008,IF008-V1,GST final return after cancellation,added,https://www.indiafilings.com/learn/gstr-10-filing,https://tutorial.gst.gov.in/downloads/news/welcome_kit_for_new_taxpyers.pdf,"IndiaFilings learn article says earlier and overgeneralises taxpayers; GSTN uses later. Added qualified scope, not the blanket claim.",2026-09-15
IF009,IF009-V1,LLP voluntary strike-off application,added,https://www.indiafilings.com/learn/llp-form-24-easily-close-a-llp,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction_Kit_LLP_Form_No_24.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF010,IF010-V1,Company voluntary strike-off application,added,https://www.indiafilings.com/learn/strike-off-company,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://mca.gov.in/,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
