field_id,data_type,scope,description,required_for
entity_type,enum,legal_entity,"Legal form, separate from charitable/tax registration status",All
financial_year,string,period,Relevant reporting year; distinguish FY/AY from new Tax Year,All
pan_aggregate_turnover_inr,decimal,PAN/year,GST aggregate turnover across India; not profit or only this branch sales,GST
gst_max_aato_since_2017_inr,decimal,PAN/history,Maximum aggregate turnover in any relevant preceding FY since 2017-18,E-invoice
business_turnover_inr,decimal,entity/year,Income-tax business sales/turnover/gross receipts,Tax audit
professional_receipts_inr,decimal,entity/year,Gross professional receipts separate from business turnover,Tax audit
cash_receipts_pct,decimal,entity/year,Cash receipts percentage 0-100 using statutory definition,Tax audit
cash_payments_pct,decimal,entity/year,Cash payment percentage 0-100 using statutory definition,Tax audit
paid_up_capital_inr,decimal,entity/date,Paid-up share capital; not authorised capital,MCA
bank_pfi_borrowings_inr,decimal,entity/date,Outstanding borrowings; maximum during relevant year where prescribed,Audit
net_worth_inr,decimal,entity/year,Statutory net worth,CSR
net_profit_inr,decimal,entity/year,Statutory profit calculation,CSR
company_turnover_inr,decimal,entity/year,Turnover per applicable Companies Act rule,MCA/TReDS
is_cpse,boolean,entity,Central public-sector enterprise status,TReDS
msme_investment_inr,decimal,PAN/year,Investment in plant/machinery/equipment under MSME definition,Udyam
msme_turnover_ex_exports_inr,decimal,PAN/year,MSME statutory turnover excluding exports,Udyam
food_turnover_inr,decimal,food_business/year,Turnover for relevant FoSCoS classification,FSSAI
food_kob,enum,premises/activity,FoSCoS kind of business including mandatory licence categories,FSSAI
special_fssai_category,boolean,premises/activity,Whether category overrides ordinary turnover tier,FSSAI
worker_count,integer,establishment/date,Count under relevant labour law; include lookback history,Labour
employee_count,integer,establishment/date,Count under rule-specific employee definition,EPF/ESI/POSH
contract_worker_count,integer,establishment/12months,Contract labour threshold with statutory reference period,OSH
uses_power,boolean,premises,Manufacturing with aid of power,Factory
monthly_wages_inr,decimal,worker/month,"Rule-specific wage definition, not assumed gross CTC",EPFO/ESIC/PT
state_ut,enum,establishment,State/UT location for each establishment,State rules
local_body_id,string,premises,Municipality/panchayat/authority and ward; PIN code alone is insufficient,Municipal/PT
gst_registered,boolean,GSTIN,Registration status and category per GSTIN,GST returns
e_invoice_exempt,boolean,entity/activity,Exempt supplier class under current notifications,E-invoice
estimated_net_tax_inr,decimal,entity/tax_year,Estimated advance tax liability after applicable credits,Advance tax
is_exempt_senior_citizen,boolean,person/tax_year,Resident senior citizen with no business/professional income,Advance tax
industry_activities,array,premises,All relevant activities/products; multiple allowed,Industry
pollution_category,enum,premises,Current SPCB classification and consent exemption,Environment
licence_expiry,date,licence,"Actual certificate expiry, where expiry applies",Renewal
notice_received_at,datetime,case,Service timestamp and method,Notices
notice_deadline,datetime,case,Deadline in actual notice/order,Notices
transaction_date,date,transaction,Actual transaction trigger date,Transaction
agm_date,date,entity/year,Actual AGM date; separately record statutory last date,MCA
incorporation_date,date,entity,Incorporation date and first financial-year end,MCA/LLP
foreign_investment,boolean,entity/transaction,Foreign investment/inward or outward position,FEMA
voluntary_scheme_elected,boolean,entity/scheme,Optional scheme chosen; never infer mandatory applicability,Optional benefits
is_presumptive_eligible,boolean,entity/year,Eligibility under the exact presumptive provision,Tax audit
is_presumptive_compliant,boolean,entity/year,Correctly declares statutory presumptive income,Tax audit
