field_id,data_type,scope,description,required_for
investor_tax_residency,enum,person/period,Tax resident/NR/RNOR category; distinct from FEMA residence,Asset/investor/property/excise assessment; profile must identify the correct legal person
fema_residency,enum,person/date,FEMA residence and relevant change date,Asset/investor/property/excise assessment; profile must identify the correct legal person
citizenship_oci_status,enum,person/date,Citizenship/OCI and relevant permission category,Asset/investor/property/excise assessment; profile must identify the correct legal person
investor_role,enum,person/account,"Retail holder, insider, designated person, adviser, analyst or acquirer",Asset/investor/property/excise assessment; profile must identify the correct legal person
security_instrument_class,enum,asset,"Equity, debt, unit, derivative or other instrument",Asset/investor/property/excise assessment; profile must identify the correct legal person
security_trade_records,json,asset/transaction,"Acquisition/sale dates and costs, proceeds, STT and corporate actions",Asset/investor/property/excise assessment; profile must identify the correct legal person
shareholding_pac_history,json,issuer/date,"Voting rights, holdings and persons acting in concert",Asset/investor/property/excise assessment; profile must identify the correct legal person
lrs_fy_remitted_usd,decimal,person/financial_year,Aggregate remittances for all LRS purposes,Asset/investor/property/excise assessment; profile must identify the correct legal person
property_local_identifiers,json,property,"District, tehsil/taluk, village/mouza, khata/khatian, dag/khasra/survey, subdivision and ULPIN when available",Asset/investor/property/excise assessment; profile must identify the correct legal person
property_tenure_class,enum,property/date,"Freehold, leasehold, grant or other tenure; not inferred from a tax receipt",Asset/investor/property/excise assessment; profile must identify the correct legal person
property_land_use,enum,property/date,Revenue classification and actual/proposed use recorded separately,Asset/investor/property/excise assessment; profile must identify the correct legal person
property_title_evidence,json,property,"Deed chain, seller authority, encumbrances, litigation and possession checks",Asset/investor/property/excise assessment; profile must identify the correct legal person
property_mutation_status,enum,property/event,"Pending, ordered, appealed, rejected or record-updated; does not certify title",Asset/investor/property/excise assessment; profile must identify the correct legal person
property_revenue_demands,json,property/period,"Demand type, assessed period, payer, amount and receipt; land revenue separate from municipal tax",Asset/investor/property/excise assessment; profile must identify the correct legal person
property_permission_conditions,json,property,"Buyer/use eligibility, authority order and continuing conditions",Asset/investor/property/excise assessment; profile must identify the correct legal person
excise_activity_class,enum,premises,"Retail, wholesale, manufacture, storage, event or movement",Asset/investor/property/excise assessment; profile must identify the correct legal person
excise_product_and_route,json,premises/transaction,Product class; origin/destination; permit and licence details,Asset/investor/property/excise assessment; profile must identify the correct legal person
entity_type,enum,legal_entity,"Legal form, separate from charitable/tax registration status",All
financial_year,string,period,Relevant reporting year; distinguish FY/AY from new Tax Year,All
pan_aggregate_turnover_inr,decimal,PAN/year,GST aggregate turnover across India; not profit or only this branch sales,GST
