rule_entity_id,rule_id,entity_type_id,mapping_status
C001-V1-llp,C001-V1,llp,candidate_filter_not_final_eligibility
C001-V1-partnership,C001-V1,partnership,candidate_filter_not_final_eligibility
C001-V1-private_company,C001-V1,private_company,candidate_filter_not_final_eligibility
C001-V1-public_company,C001-V1,public_company,candidate_filter_not_final_eligibility
C001-V1-sole_proprietor,C001-V1,sole_proprietor,candidate_filter_not_final_eligibility
C002-V1-sole_proprietor,C002-V1,sole_proprietor,candidate_filter_not_final_eligibility
C002-V1-partnership,C002-V1,partnership,candidate_filter_not_final_eligibility
C002-V1-llp,C002-V1,llp,candidate_filter_not_final_eligibility
C002-V1-private_company,C002-V1,private_company,candidate_filter_not_final_eligibility
C002-V1-public_company,C002-V1,public_company,candidate_filter_not_final_eligibility
C002-V1-trust,C002-V1,trust,candidate_filter_not_final_eligibility
C002-V1-society,C002-V1,society,candidate_filter_not_final_eligibility
C002-V1-section8,C002-V1,section8,candidate_filter_not_final_eligibility
C002-V1-other,C002-V1,other,candidate_filter_not_final_eligibility
C003-V1-sole_proprietor,C003-V1,sole_proprietor,candidate_filter_not_final_eligibility
C003-V1-partnership,C003-V1,partnership,candidate_filter_not_final_eligibility
C003-V1-llp,C003-V1,llp,candidate_filter_not_final_eligibility
C003-V1-private_company,C003-V1,private_company,candidate_filter_not_final_eligibility
C003-V1-public_company,C003-V1,public_company,candidate_filter_not_final_eligibility
C003-V1-trust,C003-V1,trust,candidate_filter_not_final_eligibility
C003-V1-society,C003-V1,society,candidate_filter_not_final_eligibility
C003-V1-section8,C003-V1,section8,candidate_filter_not_final_eligibility
C003-V1-other,C003-V1,other,candidate_filter_not_final_eligibility
C004-V1-sole_proprietor,C004-V1,sole_proprietor,candidate_filter_not_final_eligibility
C004-V1-partnership,C004-V1,partnership,candidate_filter_not_final_eligibility
C004-V1-llp,C004-V1,llp,candidate_filter_not_final_eligibility
C004-V1-private_company,C004-V1,private_company,candidate_filter_not_final_eligibility
C004-V1-public_company,C004-V1,public_company,candidate_filter_not_final_eligibility
C004-V1-trust,C004-V1,trust,candidate_filter_not_final_eligibility
C004-V1-society,C004-V1,society,candidate_filter_not_final_eligibility
C004-V1-section8,C004-V1,section8,candidate_filter_not_final_eligibility
C004-V1-other,C004-V1,other,candidate_filter_not_final_eligibility
C005-V1-llp,C005-V1,llp,candidate_filter_not_final_eligibility
C005-V1-partnership,C005-V1,partnership,candidate_filter_not_final_eligibility
C005-V1-private_company,C005-V1,private_company,candidate_filter_not_final_eligibility
C005-V1-sole_proprietor,C005-V1,sole_proprietor,candidate_filter_not_final_eligibility
