rule_asset_scope_id,rule_id,asset_class_id,actor_role,mapping_status
AX001-V1-listed_security,AX001-V1,listed_security,investor,candidate_context_not_final_eligibility
AX002-V1-listed_security,AX002-V1,listed_security,investor,candidate_context_not_final_eligibility
AX003-V1-foreign_security,AX003-V1,foreign_security,investor,candidate_context_not_final_eligibility
AX004-V1-foreign_security,AX004-V1,foreign_security,resident_individual,candidate_context_not_final_eligibility
AX005-V1-listed_security,AX005-V1,listed_security,insider,candidate_context_not_final_eligibility
AX006-V1-listed_security,AX006-V1,listed_security,designated_person,candidate_context_not_final_eligibility
AX007-V1-listed_security,AX007-V1,listed_security,substantial_shareholder,candidate_context_not_final_eligibility
AX008-V1-listed_security,AX008-V1,listed_security,acquirer,candidate_context_not_final_eligibility
AX009-V1-listed_security,AX009-V1,listed_security,investment_adviser,candidate_context_not_final_eligibility
AX010-V1-listed_security,AX010-V1,listed_security,research_analyst,candidate_context_not_final_eligibility
AX011-V1-land,AX011-V1,land,purchaser,candidate_context_not_final_eligibility
AX012-V1-land,AX012-V1,land,transferee,candidate_context_not_final_eligibility
AX013-V1-land,AX013-V1,land,purchaser,candidate_context_not_final_eligibility
AX014-V1-land,AX014-V1,land,nonresident_acquirer,candidate_context_not_final_eligibility
AX015-V1-land,AX015-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX016-V1-land,AX016-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX017-V1-land,AX017-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX018-V1-land,AX018-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX019-V1-land,AX019-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX020-V1-land,AX020-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX021-V1-land,AX021-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX022-V1-land,AX022-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX023-V1-land,AX023-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX024-V1-land,AX024-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX025-V1-land,AX025-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX026-V1-land,AX026-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX027-V1-land,AX027-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX028-V1-land,AX028-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX029-V1-land,AX029-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX030-V1-liquor_premises,AX030-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX031-V1-liquor_premises,AX031-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX032-V1-liquor_premises,AX032-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX033-V1-liquor_premises,AX033-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX034-V1-liquor_premises,AX034-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX035-V1-liquor_premises,AX035-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX036-V1-liquor_premises,AX036-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX037-V1-liquor_premises,AX037-V1,liquor_premises,owner_or_operator,candidate_context_not_final_eligibility
AX011-V1-building,AX011-V1,building,purchaser,candidate_context_not_final_eligibility
AX012-V1-building,AX012-V1,building,transferee,candidate_context_not_final_eligibility
AX014-V1-building,AX014-V1,building,nonresident_acquirer,candidate_context_not_final_eligibility
C060-V1-land,C060-V1,land,payer_or_transferee,candidate_context_not_final_eligibility
C060-V1-building,C060-V1,building,payer_or_transferee,candidate_context_not_final_eligibility
C060-V2-land,C060-V2,land,payer_or_transferee,candidate_context_not_final_eligibility
C060-V2-building,C060-V2,building,payer_or_transferee,candidate_context_not_final_eligibility
AX038-V1-land,AX038-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX039-V1-land,AX039-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX040-V1-land,AX040-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX041-V1-land,AX041-V1,land,owner_or_operator,candidate_context_not_final_eligibility
AX042-V1-building,AX042-V1,building,owner_or_operator,candidate_context_not_final_eligibility
AX043-V1-land,AX043-V1,land,owner_or_operator,candidate_context_not_final_eligibility
