table_name,column_name,sql_type,primary_key,references,description,null_semantics
departments,department_id,TEXT,1,,Department id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
departments,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
departments,navigation_category,TEXT,0,,Navigation category; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
departments,taxonomy_note,TEXT,0,,Taxonomy note; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
jurisdictions,jurisdiction_id,TEXT,1,,Country/state/UT/local-body key; use jurisdiction hierarchy.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
jurisdictions,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
jurisdictions,level,TEXT,0,,Level; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
jurisdictions,parent_id,TEXT,0,jurisdictions.jurisdiction_id,Parent id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
jurisdictions,source_id,TEXT,0,sources.source_id,Source provenance; presence does not verify every field.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
entity_types,entity_type_id,TEXT,1,,Entity type id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
entity_types,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
entity_types,ui_group,TEXT,0,,Ui group; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,band_id,TEXT,1,,Band id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,label,TEXT,0,,Label; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,min_inr,NUMERIC,0,,Exact INR lower boundary for UI band.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,max_inr,NUMERIC,0,,Exact INR upper boundary; NULL means unbounded.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,min_inclusive,INTEGER,0,,1 includes lower boundary; 0 excludes it.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,max_inclusive,INTEGER,0,,1 includes upper boundary; 0 excludes it.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
turnover_bands,usage_note,TEXT,0,,Usage note; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
trigger_types,trigger_id,TEXT,1,,Trigger id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
trigger_types,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
trigger_types,description,TEXT,0,,Description; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,source_id,TEXT,1,,Source provenance; presence does not verify every field.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,url,TEXT,0,,Url; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,title,TEXT,0,,Title; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,source_type,TEXT,0,,Source type; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,supports,TEXT,0,,Supports; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,retrieval_method,TEXT,0,,opened_page or search_excerpt; not proof every endpoint works.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
sources,accessed_on,TEXT,0,,Research access date; source publication/effective date can differ.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,authority_id,TEXT,1,,Competent authority or explicitly qualified routing reference.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,jurisdiction_id,TEXT,0,jurisdictions.jurisdiction_id,Country/state/UT/local-body key; use jurisdiction hierarchy.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,website_url,TEXT,0,,Website url; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,source_id,TEXT,0,sources.source_id,Source provenance; presence does not verify every field.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
authorities,verification_status,TEXT,0,,Scope-limited research status; never a blanket legal warranty.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,compliance_id,TEXT,1,,Stable obligation identity shared by versions.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,name,TEXT,0,,Name; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,department_id,TEXT,0,departments.department_id,Department id; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,obligation_kind,TEXT,0,,Obligation kind; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,scope_level,TEXT,0,,Scope level; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
compliances,catalog_status,TEXT,0,,Catalog status; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,rule_id,TEXT,1,,Immutable identifier for one rule version; not merely a compliance name.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,compliance_id,TEXT,0,compliances.compliance_id,Stable obligation identity shared by versions.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,jurisdiction_id,TEXT,0,jurisdictions.jurisdiction_id,Country/state/UT/local-body key; use jurisdiction hierarchy.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,authority_id,TEXT,0,authorities.authority_id,Competent authority or explicitly qualified routing reference.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,governing_law,TEXT,0,,Governing law; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,form_code,TEXT,0,,Period-specific form or qualified form selection.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,applicability_text,TEXT,0,,Applicability text; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,turnover_basis,TEXT,0,,Exact statutory turnover basis and threshold; never substitute UI band.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,employee_basis,TEXT,0,,Headcount/wages/category/reference-period qualification; may be unverified.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,effective_from,TEXT,0,,"Inclusive ISO date; blank means unresolved, not always applicable.",Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,effective_to,TEXT,0,,Inclusive ISO date; blank alone does not prove current applicability.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,tax_period,TEXT,0,,Period/law transition label; resolve explicitly before selection.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,frequency,TEXT,0,,Frequency; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,deadline_text,TEXT,0,,Deadline text; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,deadline_json,TEXT,0,,JSON candidate deadline specification; not an enabled scheduler.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,exceptions_text,TEXT,0,,Exceptions text; see README for table semantics.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,verification_status,TEXT,0,,Scope-limited research status; never a blanket legal warranty.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
rule_versions,automation_enabled,INTEGER,0,,0 in this release; research review required before activation.,Empty CSV cell imports as SQL NULL; primary keys cannot be empty
