State_UT,Professional_Tax_Applicable,PT_Registration_Type,PT_Max_Annual_Amount,PT_Return_Frequency,PT_Portal,Shops_Establishment_Act,SE_Registration_Mode,SE_Validity,SE_Portal,Trade_Licence_Authority,Trade_Licence_Mode,Notes
Maharashtra,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly (PTRC); Annual (PTEC),https://mahagst.gov.in,Maharashtra Shops & Establishments (Regulation of Employment & Conditions of Service) Act 2017,Digital only — issued via Gumasta licence,Lifetime (no renewal),https://aaplesarkar.mahaonline.gov.in,"Municipal Corporation (BMC/PMC/NMC etc., city-specific)","Hybrid — online application, physical inspection common for larger premises",PT registration for companies/LLPs can be triggered directly at incorporation via MCA's AGILE-PRO-S form
Karnataka,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly,https://ptax.karnataka.gov.in (e-Prerana),Karnataka Shops & Commercial Establishments Act 1961,"Digital only — fully paperless, Aadhaar e-sign",5 years (renewal 90 days before expiry),https://sevasindhu.karnataka.gov.in / e-Karmika (labour.karnataka.gov.in),BBMP / City Municipal Corporation (city-specific),"Hybrid — online application, may require inspection","Karnataka exemption threshold revised to Rs25,000/month salary w.e.f. April 2025"
Delhi (NCT),No,N/A,N/A — PT not levied,N/A,N/A,Delhi Shops and Establishments Act 1954,Digital only,Lifetime (no renewal),Delhi Labour Department portal (labour.delhi.gov.in),Municipal Corporation of Delhi (MCD) / NDMC (area-specific),Hybrid — online application; name board must be displayed in Hindi/English,Delhi does not levy Professional Tax
Tamil Nadu,Yes,"PTEC/PTRC (levied via local bodies, not state commercial tax dept)","Rs2,500/year",Half-yearly (Apr-Sep due 31 Oct; Oct-Mar due 30 Apr),Local body portal (Greater Chennai Corporation etc. — varies by municipality),Tamil Nadu Shops and Establishments Act 1947,"Digital (online process), 1-year validity — annual renewal",1 year (annual renewal),Tamil Nadu Labour Department portal (labour.tn.gov.in),Greater Chennai Corporation / Municipality (city-specific),Hybrid,PT in TN is collected by municipal/local bodies rather than a single state portal — varies by corporation
Telangana,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly,https://tgct.gov.in,Telangana Shops and Establishments Act (adopted from AP Act 1988),Digital,5 years (renewal required),TS iPASS / labour.telangana.gov.in,GHMC / Municipal Corporation (city-specific),Hybrid,
Andhra Pradesh,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly,https://apct.gov.in,AP Shops and Establishments Act 1988,Digital,5 years (renewal required),AP Labour Department portal (labour.ap.gov.in),Municipal Corporation (city-specific),Hybrid,
West Bengal,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly,https://wbcomtax.gov.in / Profession Tax Directorate (ptax.wb.gov.in),West Bengal Shops and Establishments Act 1963,Digital (via West Bengal Labour Commission),Periodic renewal (state-specific),https://wblc.gov.in,Kolkata Municipal Corporation / Municipality (city-specific),Hybrid,PT registration for companies/LLPs can be triggered at incorporation via MCA's AGILE-PRO-S form
Gujarat,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year",Monthly,https://commercialtax.gujarat.gov.in,Gujarat Shops and Establishments Act (locally called Gumastadhara),Digital,"Periodic renewal (state-specific, commonly 1-5 years)",https://gujaratlabour.gov.in / iora.gujarat.gov.in,Municipal Corporation (city-specific),Hybrid,Locally referred to as Gumastadhara / Trade Licence in some Gujarat cities
Madhya Pradesh,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year (slab-based, lower max in some slabs)",Monthly,https://mptax.mp.gov.in,Madhya Pradesh Shops and Establishments Act,Digital (via MP Labour Dept / Single Window),Periodic renewal (state-specific),MP Labour Department / mpedistrict.gov.in,Municipal Corporation (city-specific),Hybrid,
Kerala,Yes,PTEC (self-employed) / employer deduction,"Rs2,500/year",Half-yearly (Apr-Sep due 31 Oct; Oct-Mar due 30 Apr),"Local body portal (Kerala PT is collected by local self-government bodies, not a single state portal)",Kerala Shops and Commercial Establishments Act 1960,Digital (via Kerala Labour Dept),Periodic renewal (state-specific),https://klc.kerala.gov.in,Municipal Corporation / Panchayat (local-body specific),Hybrid,"PT in Kerala is administered by local self-government institutions, not a single state commercial tax portal"
