process_id,rule_id,application_url,url_role,filing_mode,physical_submission,applicant_visit,inspection,testing_or_notarisation,process_notes,verification_status
C001-V1-PROCESS,C001-V1,https://www.gst.gov.in/,application_or_guidance,online_with_conditional_physical_step,conditional,conditional,conditional,unverified,"Applicants selected for biometric/document verification, or not choosing Aadhaar authentication, may need a GSK visit with originals. Premises verification is a separate process.",researched_partial
C002-V1-PROCESS,C002-V1,https://www.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,Return submission online; a later audit or notice is a separate process.,researched_partial
C003-V1-PROCESS,C003-V1,https://www.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,Return submission online; a later audit or notice is a separate process.,researched_partial
C004-V1-PROCESS,C004-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C005-V1-PROCESS,C005-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C006-V1-PROCESS,C006-V1,https://www.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,Return submission online; a later audit or notice is a separate process.,researched_partial
C007-V1-PROCESS,C007-V1,https://www.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,Return submission online; a later audit or notice is a separate process.,researched_partial
C008-V1-PROCESS,C008-V1,https://www.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,Return submission online; a later audit or notice is a separate process.,researched_partial
C009-V1-PROCESS,C009-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C010-V1-PROCESS,C010-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C011-V1-PROCESS,C011-V1,https://einvoice6.gst.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,IRP route; supplier/document exemptions require checking.,researched_partial
C012-V1-PROCESS,C012-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C013-V1-PROCESS,C013-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C014-V1-PROCESS,C014-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C015-V1-PROCESS,C015-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C016-V1-PROCESS,C016-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C017-V1-PROCESS,C017-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C018-V1-PROCESS,C018-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C019-V1-PROCESS,C019-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C020-V1-PROCESS,C020-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C021-V1-PROCESS,C021-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C022-V1-PROCESS,C022-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C023-V1-PROCESS,C023-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C024-V1-PROCESS,C024-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C025-V1-PROCESS,C025-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C026-V1-PROCESS,C026-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C027-V1-PROCESS,C027-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C028-V1-PROCESS,C028-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C029-V1-PROCESS,C029-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C030-V1-PROCESS,C030-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C031-V1-PROCESS,C031-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C032-V1-PROCESS,C032-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C033-V1-PROCESS,C033-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C034-V1-PROCESS,C034-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C035-V1-PROCESS,C035-V1,https://www.incometax.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"Electronic services available; exact form, signatures and alternative filing routes require applicant/period review.",researched_partial
C036-V1-PROCESS,C036-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C037-V1-PROCESS,C037-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C038-V1-PROCESS,C038-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C039-V1-PROCESS,C039-V1,,not_resolved,unverified,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",unverified
C040-V1-PROCESS,C040-V1,https://www.mca.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",researched_partial
C041-V1-PROCESS,C041-V1,https://www.incometax.gov.in/,application_or_guidance,online,unverified,unverified,unverified,unverified,"Electronic services available; exact form, signatures and alternative filing routes require applicant/period review.",researched_partial
