rule_trigger_id,rule_id,trigger_id
C001-V1-turnover,C001-V1,turnover
C002-V1-date,C002-V1,date
C003-V1-date,C003-V1,date
C004-V1-date,C004-V1,date
C005-V1-turnover,C005-V1,turnover
C006-V1-date,C006-V1,date
C007-V1-turnover,C007-V1,turnover
C008-V1-turnover,C008-V1,turnover
C009-V1-notice,C009-V1,notice
C010-V1-industry,C010-V1,industry
C011-V1-turnover,C011-V1,turnover
C012-V1-location,C012-V1,location
C013-V1-industry,C013-V1,industry
C014-V1-transaction,C014-V1,transaction
C015-V1-director_partner,C015-V1,director_partner
C016-V1-director_partner,C016-V1,director_partner
C017-V1-date,C017-V1,date
C018-V1-date,C018-V1,date
C019-V1-director_partner,C019-V1,director_partner
C020-V1-date,C020-V1,date
C021-V1-date,C021-V1,date
C022-V1-date,C022-V1,date
C023-V1-director_partner,C023-V1,director_partner
C024-V1-date,C024-V1,date
C025-V1-date,C025-V1,date
C026-V1-transaction,C026-V1,transaction
C027-V1-transaction,C027-V1,transaction
C028-V1-director_partner,C028-V1,director_partner
C029-V1-location,C029-V1,location
C030-V1-date,C030-V1,date
C031-V1-turnover,C031-V1,turnover
C032-V1-director_partner,C032-V1,director_partner
C033-V1-date,C033-V1,date
C034-V1-date,C034-V1,date
C035-V1-date,C035-V1,date
C036-V1-director_partner,C036-V1,director_partner
C037-V1-director_partner,C037-V1,director_partner
C038-V1-director_partner,C038-V1,director_partner
C039-V1-director_partner,C039-V1,director_partner
C040-V1-director_partner,C040-V1,director_partner
C041-V1-industry,C041-V1,industry
C042-V1-industry,C042-V1,industry
C043-V1-turnover,C043-V1,turnover
C044-V1-date,C044-V1,date
C045-V1-industry,C045-V1,industry
C046-V1-director_partner,C046-V1,director_partner
C047-V1-director_partner,C047-V1,director_partner
C048-V1-date,C048-V1,date
C049-V1-turnover,C049-V1,turnover
C050-V1-turnover,C050-V1,turnover
C051-V1-transaction,C051-V1,transaction
C052-V1-date,C052-V1,date
C053-V1-date,C053-V1,date
C054-V1-date,C054-V1,date
C055-V1-date,C055-V1,date
C056-V1-date,C056-V1,date
C057-V1-date,C057-V1,date
C058-V1-date,C058-V1,date
C059-V1-date,C059-V1,date
C060-V1-transaction,C060-V1,transaction
C061-V1-transaction,C061-V1,transaction
C062-V1-transaction,C062-V1,transaction
C063-V1-employee,C063-V1,employee
C064-V1-date,C064-V1,date
C065-V1-date,C065-V1,date
C066-V1-employee,C066-V1,employee
C067-V1-date,C067-V1,date
C068-V1-employee,C068-V1,employee
C069-V1-date,C069-V1,date
C070-V1-employee,C070-V1,employee
C071-V1-employee,C071-V1,employee
C072-V1-employee,C072-V1,employee
C073-V1-employee,C073-V1,employee
C074-V1-employee,C074-V1,employee
C075-V1-turnover,C075-V1,turnover
C076-V1-turnover,C076-V1,turnover
C077-V1-turnover,C077-V1,turnover
C077-V1-industry,C077-V1,industry
C078-V1-industry,C078-V1,industry
C079-V1-date,C079-V1,date
C080-V1-industry,C080-V1,industry
C081-V1-industry,C081-V1,industry
C082-V1-transaction,C082-V1,transaction
C083-V1-turnover,C083-V1,turnover
C084-V1-location,C084-V1,location
C085-V1-industry,C085-V1,industry
C086-V1-employee,C086-V1,employee
C086-V1-industry,C086-V1,industry
C087-V1-licence,C087-V1,licence
C088-V1-industry,C088-V1,industry
C089-V1-licence,C089-V1,licence
C090-V1-industry,C090-V1,industry
C092-V1-turnover,C092-V1,turnover
C093-V1-industry,C093-V1,industry
C094-V1-industry,C094-V1,industry
C095-V1-licence,C095-V1,licence
C096-V1-industry,C096-V1,industry
C097-V1-industry,C097-V1,industry
C098-V1-industry,C098-V1,industry
C099-V1-date,C099-V1,date
C100-V1-date,C100-V1,date
C101-V1-turnover,C101-V1,turnover
C102-V1-date,C102-V1,date
C103-V1-notice,C103-V1,notice
C104-V1-notice,C104-V1,notice
C105-V1-notice,C105-V1,notice
C106-V1-notice,C106-V1,notice
C107-V1-notice,C107-V1,notice
C108-V1-notice,C108-V1,notice
C054-V2-date,C054-V2,date
C055-V2-date,C055-V2,date
C056-V2-date,C056-V2,date
C057-V2-date,C057-V2,date
C061-V2-transaction,C061-V2,transaction
C050-V2-turnover,C050-V2,turnover
C060-V2-transaction,C060-V2,transaction
N001-V1-date,N001-V1,date
N001-V1-turnover,N001-V1,turnover
N002-V1-turnover,N002-V1,turnover
N002-V1-law_change,N002-V1,law_change
N003-V1-transaction,N003-V1,transaction
N003-V1-director_partner,N003-V1,director_partner
N004-V1-director_partner,N004-V1,director_partner
N005-V1-transaction,N005-V1,transaction
N005-V1-director_partner,N005-V1,director_partner
N006-V1-transaction,N006-V1,transaction
N006-V1-director_partner,N006-V1,director_partner
N007-V1-date,N007-V1,date
N008-V1-date,N008-V1,date
N008-V1-transaction,N008-V1,transaction
N009-V1-date,N009-V1,date
N009-V1-industry,N009-V1,industry
N010-V1-location,N010-V1,location
N010-V1-industry,N010-V1,industry
N010-V1-transaction,N010-V1,transaction
N011-V1-notice,N011-V1,notice
N011-V1-transaction,N011-V1,transaction
N012-V1-industry,N012-V1,industry
N012-V1-date,N012-V1,date
N012-V1-transaction,N012-V1,transaction
N013-V1-industry,N013-V1,industry
N013-V1-date,N013-V1,date
N013-V1-transaction,N013-V1,transaction
N014-V1-industry,N014-V1,industry
N014-V1-date,N014-V1,date
N014-V1-transaction,N014-V1,transaction
N015-V1-industry,N015-V1,industry
N015-V1-date,N015-V1,date
N015-V1-transaction,N015-V1,transaction
N016-V1-industry,N016-V1,industry
N016-V1-date,N016-V1,date
N016-V1-transaction,N016-V1,transaction
N017-V1-industry,N017-V1,industry
N017-V1-date,N017-V1,date
N017-V1-transaction,N017-V1,transaction
N018-V1-industry,N018-V1,industry
N018-V1-location,N018-V1,location
N018-V1-transaction,N018-V1,transaction
N019-V1-location,N019-V1,location
N019-V1-transaction,N019-V1,transaction
N020-V1-location,N020-V1,location
N020-V1-industry,N020-V1,industry
N021-V1-industry,N021-V1,industry
N021-V1-location,N021-V1,location
N021-V1-licence,N021-V1,licence
N022-V1-transaction,N022-V1,transaction
N022-V1-industry,N022-V1,industry
N023-V1-transaction,N023-V1,transaction
N023-V1-industry,N023-V1,industry
N024-V1-transaction,N024-V1,transaction
N025-V1-transaction,N025-V1,transaction
N026-V1-transaction,N026-V1,transaction
N026-V1-director_partner,N026-V1,director_partner
N027-V1-transaction,N027-V1,transaction
N028-V1-industry,N028-V1,industry
N028-V1-transaction,N028-V1,transaction
N029-V1-industry,N029-V1,industry
N029-V1-transaction,N029-V1,transaction
N030-V1-industry,N030-V1,industry
N030-V1-licence,N030-V1,licence
N031-V1-industry,N031-V1,industry
N031-V1-law_change,N031-V1,law_change
N031-V1-licence,N031-V1,licence
N032-V1-date,N032-V1,date
N032-V1-licence,N032-V1,licence
N033-V1-industry,N033-V1,industry
N033-V1-location,N033-V1,location
N033-V1-licence,N033-V1,licence
N034-V1-industry,N034-V1,industry
N034-V1-licence,N034-V1,licence
N035-V1-industry,N035-V1,industry
N035-V1-licence,N035-V1,licence
N036-V1-industry,N036-V1,industry
N036-V1-location,N036-V1,location
N036-V1-licence,N036-V1,licence
N037-V1-transaction,N037-V1,transaction
N037-V1-notice,N037-V1,notice
N038-V1-date,N038-V1,date
N038-V1-industry,N038-V1,industry
N039-V1-law_change,N039-V1,law_change
N039-V1-industry,N039-V1,industry
N040-V1-industry,N040-V1,industry
N040-V1-location,N040-V1,location
N040-V1-licence,N040-V1,licence
N041-V1-licence,N041-V1,licence
N042-V1-industry,N042-V1,industry
N042-V1-transaction,N042-V1,transaction
N043-V1-industry,N043-V1,industry
N043-V1-law_change,N043-V1,law_change
N043-V1-licence,N043-V1,licence
N044-V1-industry,N044-V1,industry
N044-V1-transaction,N044-V1,transaction
N044-V1-notice,N044-V1,notice
N045-V1-industry,N045-V1,industry
N045-V1-transaction,N045-V1,transaction
N046-V1-industry,N046-V1,industry
N046-V1-transaction,N046-V1,transaction
N047-V1-industry,N047-V1,industry
N047-V1-location,N047-V1,location
N047-V1-licence,N047-V1,licence
N048-V1-industry,N048-V1,industry
N048-V1-location,N048-V1,location
N048-V1-transaction,N048-V1,transaction
N048-V1-licence,N048-V1,licence
N049-V1-law_change,N049-V1,law_change
N049-V1-employee,N049-V1,employee
N049-V1-location,N049-V1,location
S-PB-PSDT-REG-V1-location,S-PB-PSDT-REG-V1,location
S-PB-PSDT-REG-V1-employee,S-PB-PSDT-REG-V1,employee
S-PB-PSDT-REG-V1-industry,S-PB-PSDT-REG-V1,industry
S-PB-PSDT-ELECT-V1-date,S-PB-PSDT-ELECT-V1,date
S-PB-PSDT-ELECT-V1-transaction,S-PB-PSDT-ELECT-V1,transaction
S-MH-PT-REG-V1-location,S-MH-PT-REG-V1,location
S-MH-PT-REG-V1-employee,S-MH-PT-REG-V1,employee
